,Aged Care,Postcode,Nearest Hospital,Type,Hopsital Address,Distance (miles)
2,"Jewish Care : Residential Homes, Windsor",3004,Albert Road Clinic,Private,31-33 Albert Road Albert VIC 3004,0.27
475,John Curtin Aged Care,3363,Creswick District Hospital,Public,1 Napier Street Creswick VIC 3363,0.17
475,John Curtin Aged Care,3363,Ballarat Surgicentre,Private,5-9 Wood Street Ballarat VIC 3350,8.84
521,Johnson-Goodwin Memorial Homes,3480,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,76.24
521,Johnson-Goodwin Memorial Homes,3480,East Wimmera Health Service (Donald),Public,1A Aitken Avenue Donald VIC 3480,0.29
53,Kalyna Care,3037,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,3.39
53,Kalyna Care,3037,St Albans Endoscopy Centre,Private,328-330 Station Road Brimbank VIC 3021,1.37
497,Kaniva Hostel,3419,West Wimmera Health Service (Kaniva),Public,1-7 Roache Street Kaniva VIC 3419,0.08
497,Kaniva Hostel,3419,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,153.04
519,Kara Court Nursing Home,3478,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,56.88
519,Kara Court Nursing Home,3478,East Wimmera Health Service (St Arnaud),Public,52 Aitken Road Aitken VIC 3478,0.47
615,Karana,3730,Wangaratta Private Hospital,Private,134-150 Templeton Street Wangaratta VIC 3677,28.58
615,Karana,3730,Yarrawonga Health,Public,33 Piper Street Yarrawonga VIC 3730,0.42
591,Karingal Seymour,3660,Nagambie HealthCare,Private,22 Church Street Strathbogie VIC 3608,16.41
591,Karingal Seymour,3660,Seymour Health,Public,1 Bretonneux Street Seymour VIC 3660,0.03
584,Karinya NCN Health Numurkah,3636,Shepparton Private Hospital,Private,20 Fitzgerald Street Fitzgerald VIC 3630,18.0
584,Karinya NCN Health Numurkah,3636,Numurkah District Health Service,Public,2 Katamatite-nathalia Road Numurkah VIC 3636,0.04
468,Kelaston,3355,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,0.48
468,Kelaston,3355,Ballarat Hospital,Public,1 Drummond Street Drummond VIC 3350,1.97
610,Kellock Lodge Alexandra Inc,3714,Alexandra District Hospital,Public,12 Cooper Street Alexandra VIC 3714,0.67
610,Kellock Lodge Alexandra Inc,3714,Euroa Health Inc,Private,36 Kennedy Street Strathbogie VIC 3666,30.5
144,Kerala Manor,3089,,Public,,
144,Kerala Manor,3089,,Private,,
149,Kew Gardens Aged Care,3101,Caritas Christi Hospice Ltd,Public,104 Kooyong Road Kew VIC 3101,0.95
149,Kew Gardens Aged Care,3101,St Vincent's Private Hospital Kew,Private,5 Studley Avenue Boroondara VIC 3101,0.49
305,Kingston Gardens,3172,,Public,,
305,Kingston Gardens,3172,,Private,,
223,Kirkbrae Residential Care,3137,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,1.27
223,Kirkbrae Residential Care,3137,Maroondah Hospital,Public,1-15 Davey Drive Davey VIC 3135,3.02
731,Kirrak House,3995,,Private,,
731,Kirrak House,3995,,Public,,
461,Kirralee,3350,St John of God Ballarat Hospital,Private,101 Drummond Street Ballarat VIC 3350,0.79
461,Kirralee,3350,Ballarat Hospital,Public,1 Drummond Street Drummond VIC 3350,0.77
435,Kolor Lodge Hostel,3289,Penshurst & District Memorial Hospital,Public,146 Cobb Street Penshurst VIC 3289,0.89
435,Kolor Lodge Hostel,3289,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,35.5
728,Koo Wee Rup Regional Health Service Killara Hostel-,3981,Kooweerup Regional Health Service,Public,215 Rossiter Road Rossiter VIC 3981,0.03
728,Koo Wee Rup Regional Health Service Killara Hostel-,3981,Casey Radiation Oncology Centre,Private,2/55 Kangan Drive Casey VIC 3806,13.21
729,Koo Wee Rup Regional Health Service Social Work,3981,Kooweerup Regional Health Service,Public,215 Rossiter Road Rossiter VIC 3981,0.89
729,Koo Wee Rup Regional Health Service Social Work,3981,Casey Radiation Oncology Centre,Private,2/55 Kangan Drive Casey VIC 3806,13.24
719,Koorooman House Nursing Home,3953,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,31.66
719,Koorooman House Nursing Home,3953,Gippsland Southern Health Service (Leongatha),Public,64 Koonwarra Road Leongatha VIC 3953,0.06
574,Koraleigh Nursing Home,3621,Shepparton Private Hospital,Private,20 Fitzgerald Street Fitzgerald VIC 3630,26.37
574,Koraleigh Nursing Home,3621,Kyabram and District Health Services,Public,86-96 Fenaughty Street Kyabram VIC 3620,6.47
447,Kowree Nursing Home Unit,3318,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,112.9
447,Kowree Nursing Home Unit,3318,Edenhope & District Hospital,Public,124-134 Elizabeth Street Edenhope VIC 3318,0.07
491,Kurrajong Lodge,3400,Wimmera Base Hospital (Horsham),Public,83 Baillie Street Horsham VIC 3400,0.33
491,Kurrajong Lodge,3400,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,106.21
573,Kyabram Nursing Home - Sheridan,3620,Shepparton Private Hospital,Private,20 Fitzgerald Street Fitzgerald VIC 3630,20.74
573,Kyabram Nursing Home - Sheridan,3620,Kyabram and District Health Services,Public,86-96 Fenaughty Street Kyabram VIC 3620,0.07
392,LUSON The Vue,3216,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,3.92
392,LUSON The Vue,3216,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,2.2
688,Lakes Entrance Aged Care Facility,3909,Heyfield Hospital Incorporated,Private,14-16 Licola Road Wellington VIC 3858,64.78
688,Lakes Entrance Aged Care Facility,3909,Bairnsdale Regional Health Service,Public,122 Day Street Bairnsdale VIC 3875,19.63
567,Lakeview Lodge Hostel,3608,Nagambie HealthCare,Private,22 Church Street Strathbogie VIC 3608,0.04
567,Lakeview Lodge Hostel,3608,Waranga Memorial Hospital,Public,14 Coyle Street Rushworth VIC 3612,15.44
606,Lakeview Nursing Home,3700,Tallangatta Health Service,Public,25 Barree Street Tallangatta VIC 3700,0.18
606,Lakeview Nursing Home,3700,Murray Valley Private Hospital,Private,2/69 Nordsvan Drive Wodonga VIC 3690,17.89
671,Latrobe Regional Hospital Nursing Home,3844,Latrobe Regional Hospital,Public,10 Village Avenue Traralgon VIC 3844,0.14
671,Latrobe Regional Hospital Nursing Home,3844,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,2.91
661,Latrobe Valley Village Hostel,3825,,Private,,
661,Latrobe Valley Village Hostel,3825,,Public,,
259,Latvian Aged Care Facility,3152,Knox Private Hospital,Private,262 Mountain Highway Knox VIC 3152,1.99
259,Latvian Aged Care Facility,3152,Wantirna Health,Public,251 Mountain Highway Wantirna VIC 3152,2.04
676,Laurina Lodge Hostel,3858,Heyfield Hospital Incorporated,Private,14-16 Licola Road Wellington VIC 3858,0.08
676,Laurina Lodge Hostel,3858,Central Gippsland Health Service (Maffra),Public,42-48 Kent Street Maffra VIC 3860,10.96
301,Lexington Gardens Aged Care,3171,Monash Medical Centre (Clayton),Public,246 Clayton Road Clayton VIC 3168,2.21
301,Lexington Gardens Aged Care,3171,Springvale Endoscopy Centre and Day Hospital,Private,20 Balmoral Avenue Balmoral VIC 3171,0.51
361,Lifeview Argyle Court,3196,Frankston Hospital,Public,2 Hastings Road Frankston VIC 3199,6.57
361,Lifeview Argyle Court,3196,Chelsea Heights Day Surgery & Endoscopy,Private,93 Wells Road Kingston VIC 3196,1.77
634,Lifeview Emerald Glades,3782,Berwick Surgicentre,Private,22 Langmore Lane Casey VIC 3806,9.05
634,Lifeview Emerald Glades,3782,Angliss Hospital,Public,39 Albert Street Albert VIC 3156,7.47
250,Lifeview The Willows,3150,"Peter James Centre, The",Public,321-345 Burwood Highway Burwood VIC 3131,3.35
250,Lifeview The Willows,3150,The Victorian Rehabilitation Centre,Private,499 Springvale Road Monash VIC 3150,1.59
726,Lifeview Willow Wood,3977,Cranbourne Integrated Care Centre,Public,140-154 Sladen Street Cranbourne VIC 3977,0.8
726,Lifeview Willow Wood,3977,The Hampton Park Women's Health Care Centre,Private,4 Warana Drive Casey VIC 3976,4.9
229,Lilydale Aged Care,3140,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,4.84
229,Lilydale Aged Care,3140,Yarra Ranges Health,Public,25 Market Street Lilydale VIC 3140,0.4
217,Lionsbrae,3135,Maroondah Hospital,Public,1-15 Davey Drive Davey VIC 3135,0.31
217,Lionsbrae,3135,Ringwood Private Hospital,Private,36 Mcclelland Road Maroondah VIC 3135,0.66
139,Liscombe House,3088,Diaverum Diamond Valley Dialysis Clinic,Private,15 Grimshaw Street Banyule VIC 3088,1.68
139,Liscombe House,3088,Bundoora Extended Care Centre,Public,1231 Plenty Road Bundoora VIC 3083,4.17
102,Little Sisters of the Poor St Joseph's Home,3070,Royal Talbot Rehabilitation Centre,Public,1 Yarra Boulevard Kew VIC 3101,2.12
102,Little Sisters of the Poor St Joseph's Home,3070,Brunswick Private Hospital,Private,82 Moreland Road Moreland VIC 3056,1.53
564,Logan Lodge (formally known as Swan Hill District Nursing Home),3585,Swan Hill District Health (Swan Hill),Public,50-54 Splatt Street Splatt VIC 3585,0.21
564,Logan Lodge (formally known as Swan Hill District Nursing Home),3585,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,105.45
146,Lower Plenty Garden Views,3093,Mercy Hospital for Women,Public,163 Studley Road Heidelberg VIC 3084,4.2
146,Lower Plenty Garden Views,3093,Diaverum Diamond Valley Dialysis Clinic,Private,15 Grimshaw Street Banyule VIC 3088,2.13
401,Luson - Eden Park,3219,The Geelong Clinic,Private,94-102 Townsend Road Townsend VIC 3219,0.4
401,Luson - Eden Park,3219,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,2.23
724,Lynbrook Park Aged Care,3975,The Hampton Park Women's Health Care Centre,Private,4 Warana Drive Casey VIC 3976,1.06
724,Lynbrook Park Aged Care,3975,Casey Hospital,Public,62-70 Kangan Drive Berwick VIC 3806,4.75
185,Lynden Aged Care,3124,Linley Clinic,Private,25 Bryson Street Boroondara VIC 3126,1.01
185,Lynden Aged Care,3124,O'Connell Family Centre,Public,6 Katamatite-nathalia Road Canterbury VIC 3126,2.19
430,Lyndoch Living - Residential Care,3280,South West Regional Cancer Centre,Private,26 Ryot Street Warrnambool VIC 3280,1.99
430,Lyndoch Living - Residential Care,3280,South West Healthcare (Warrnambool),Public,25 Ryot Street Warrnambool VIC 3280,2.06
653,Lyrebird Village for the Aged,3818,West Gippsland Healthcare Group (Warragul),Public,41 Landsborough Street Warragul VIC 3820,4.33
653,Lyrebird Village for the Aged,3818,Neerim District Health Service,Private,29-39 Church Road Church VIC 3831,9.16
387,MACS - Home Care Services,3215,McKellar Centre (Geelong),Public,45-99 Ballarat Road Ballarat VIC 3215,0.76
387,MACS - Home Care Services,3215,St John of God Geelong Hospital,Private,80 Myers Street Myers VIC 3220,1.79
483,Macpherson Smith Residential Care,3380,Stawell Regional Health,Public,27-29 Sloane Street Stawell VIC 3380,0.25
483,Macpherson Smith Residential Care,3380,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,66.87
578,Maculata Place Residential Aged Care Service,3630,Shepparton Private Hospital,Private,20 Fitzgerald Street Fitzgerald VIC 3630,1.16
578,Maculata Place Residential Aged Care Service,3630,Shepparton Hospital,Public,2-48 Graham Street Shepparton VIC 3630,0.74
513,Maldon Hospital - Mountview Nursing Home,3463,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,19.24
513,Maldon Hospital - Mountview Nursing Home,3463,Maldon Hospital,Public,1 Chapel Street Maldon VIC 3463,0.1
524,Mallee Track Health & Community Service - Ouyen,3490,Mildura Base Hospital,Private,216-240 Ontario Avenue Mildura VIC 3500,61.99
524,Mallee Track Health & Community Service - Ouyen,3490,Mallee Track Health and Community Service (Ouyen),Public,28 Britt Street Ouyen VIC 3490,0.13
536,Mallee Track Health & Community Service - Sea Lake,3533,Mildura Health Private Hospital,Private,220-228 Thirteenth Street Mildura VIC 3500,99.34
536,Mallee Track Health & Community Service - Sea Lake,3533,Mallee Track Health & Community Service (Sea Lake),Public,33-43 Mcclelland Avenue Mcclelland VIC 3533,0.06
170,MannaCare Cassia House,3108,Manningham Day Procedure Centre,Private,503/200 High Street Manningham VIC 3107,0.65
170,MannaCare Cassia House,3108,Box Hill Hospital,Public,8 Arnold Street Arnold VIC 3128,2.36
171,MannaCare Doncaster Melaleuca Lodge,3108,Box Hill Hospital,Public,8 Arnold Street Arnold VIC 3128,2.36
171,MannaCare Doncaster Melaleuca Lodge,3108,Manningham Day Procedure Centre,Private,503/200 High Street Manningham VIC 3107,0.65
34,Manor Court Werribee Aged Care,3030,Werribee Endoscopy Centre,Private,179 Princes Highway Wyndham VIC 3030,1.66
34,Manor Court Werribee Aged Care,3030,Mercy Public Hospitals Inc (Werribee),Public,300-310 Princes Highway Werribee VIC 3030,2.41
670,Margery Cole Residential Care Service,3844,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,7.22
670,Margery Cole Residential Care Service,3844,Latrobe Regional Hospital,Public,10 Village Avenue Traralgon VIC 3844,4.52
28,Marina Residential Aged Care Service,3025,Altona Endoscopy Centre,Private,3-5 Sargood Street Sargood VIC 3018,2.8
28,Marina Residential Aged Care Service,3025,Tweddle Child and Family Health Service,Public,49-71 Adelaide Street Footscray VIC 3011,3.26
265,Martin Luther Homes,3154,The Melbourne Eastern Private Hospital,Private,153-159 Scoresby Road Knox VIC 3155,1.83
265,Martin Luther Homes,3154,Angliss Hospital,Public,39 Albert Street Albert VIC 3156,2.86
153,Mary Guthrie House Nursing Home,3101,St Vincent's Private Hospital Kew,Private,5 Studley Avenue Boroondara VIC 3101,0.47
153,Mary Guthrie House Nursing Home,3101,Caritas Christi Hospice Ltd,Public,104 Kooyong Road Kew VIC 3101,0.41
424,May Noonan Centre by Lyndoch Living,3264,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,25.3
424,May Noonan Centre by Lyndoch Living,3264,Terang and Mortlake Health Service (Terang),Public,13 Austin Avenue Terang VIC 3264,1.09
339,Mayflower Brighton - Residential Aged Care,3187,Calvary Health Care Bethlehem,Public,476-482 Kooyong Road Kooyong VIC 3162,1.33
339,Mayflower Brighton - Residential Aged Care,3187,Mandometer Brighton,Private,412-414 Bay Street Bayside VIC 3186,0.83
111,Mayflower Reservoir,3073,Bundoora Extended Care Centre,Public,1231 Plenty Road Bundoora VIC 3083,2.98
111,Mayflower Reservoir,3073,Reservoir Private Hospital Day Procedure Centre,Private,73-75 Pine Street Darebin VIC 3073,0.75
385,McKellar Centre,3215,McKellar Centre (Geelong),Public,45-99 Ballarat Road Ballarat VIC 3215,0.88
385,McKellar Centre,3215,St John of God Geelong Hospital,Private,80 Myers Street Myers VIC 3220,1.63
76,McLellan House Hostel,3047,Dorset Rehabilitation Centre,Private,146 Derby Street Moreland VIC 3044,3.23
76,McLellan House Hostel,3047,Broadmeadows Health Service,Public,35-57 Johnstone Street Jacana VIC 3047,0.14
104,Medina Manor Aged Care,3071,Royal Talbot Rehabilitation Centre,Public,1 Yarra Boulevard Kew VIC 3101,2.66
104,Medina Manor Aged Care,3071,Panch Day Surgery Centre,Private,84-90 Hotham Street Darebin VIC 3072,0.95
25,Mekong Cairnlea Vietnamese Aged Care,3023,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,2.14
25,Mekong Cairnlea Vietnamese Aged Care,3023,St Albans Endoscopy Centre,Private,328-330 Station Road Brimbank VIC 3021,0.59
46,Mekong Vietnamese Aged Care,3033,The Essendon Private Hospital,Private,35 Rosehill Road Rosehill VIC 3040,1.72
46,Mekong Vietnamese Aged Care,3033,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,2.78
693,Melaleuca Aged Care,3922,The Mornington Centre,Public,24 Separation Street Mornington VIC 3931,18.93
693,Melaleuca Aged Care,3922,Beleura Private Hospital,Private,925 Nepean Highway Nepean VIC 3931,18.95
282,Melbourne Hebrew Memorial Nursing Home (Gary Smorgon House) - Jewish Care (VIC),3162,Caulfield General Medical Centre,Public,260 Kooyong Road Caulfield VIC 3162,0.79
282,Melbourne Hebrew Memorial Nursing Home (Gary Smorgon House) - Jewish Care (VIC),3162,Melbourne Day Surgery Centre,Private,961 High Road High VIC 3162,0.08
192,Menarock LIFE Camberwell,3124,Linley Clinic,Private,25 Bryson Street Boroondara VIC 3126,0.94
192,Menarock LIFE Camberwell,3124,O'Connell Family Centre,Public,6 Katamatite-nathalia Road Canterbury VIC 3126,2.19
62,Menarock LIFE Essendon,3040,Essendon Private Clinic,Private,665 Wantirna Road Wantirna VIC 3039,0.75
62,Menarock LIFE Essendon,3040,Royal Melbourne Hospital (Royal Park Campus),Public,34-56 Poplar Road Parkville VIC 3052,2.24
252,Menarock LIFE Glen Waverley,3150,"Peter James Centre, The",Public,321-345 Burwood Highway Burwood VIC 3131,2.15
252,Menarock LIFE Glen Waverley,3150,The Glen Endoscopy Centre,Private,302 Springvale Road Monash VIC 3150,1.36
216,Menarock LIFE Heathmont,3135,Wantirna Health,Public,251 Mountain Highway Wantirna VIC 3152,1.59
216,Menarock LIFE Heathmont,3135,Bayswater Day Procedure and Specialist Centre,Private,664 Mountain Highway Knox VIC 3153,0.84
340,Menarock LIFE Highett (Rosehill),3190,Sandringham & District Memorial Hospital,Public,191-193 Bluff Road Sandringham VIC 3191,0.92
340,Menarock LIFE Highett (Rosehill),3190,Bayside Endoscopy Day Hospital,Private,437-441 South Road South VIC 3204,1.39
168,Menarock LIFE Lower Templestowe (Emmavale),3107,Manningham Day Procedure Centre,Private,503/200 High Street Manningham VIC 3107,0.08
168,Menarock LIFE Lower Templestowe (Emmavale),3107,Box Hill Hospital,Public,8 Arnold Street Arnold VIC 3128,2.8
651,Menarock LIFE Pakenham (McGregor Gardens),3810,Casey Radiation Oncology Centre,Private,2/55 Kangan Drive Casey VIC 3806,7.37
651,Menarock LIFE Pakenham (McGregor Gardens),3810,Casey Hospital,Public,62-70 Kangan Drive Berwick VIC 3806,7.29
576,Menarock LIFE Shepparton,3630,Shepparton Hospital,Public,2-48 Graham Street Shepparton VIC 3630,0.4
576,Menarock LIFE Shepparton,3630,Shepparton Private Hospital,Private,20 Fitzgerald Street Fitzgerald VIC 3630,0.49
161,Menarock LIFE Templestowe (Willowbrae),3106,Manningham Day Procedure Centre,Private,503/200 High Street Manningham VIC 3107,2.07
161,Menarock LIFE Templestowe (Willowbrae),3106,Box Hill Hospital,Public,8 Arnold Street Arnold VIC 3128,4.39
648,Menarock LIFE Upper Beaconsfield (Salisbury House),3808,Berwick Surgicentre,Private,22 Langmore Lane Casey VIC 3806,4.02
648,Menarock LIFE Upper Beaconsfield (Salisbury House),3808,Casey Hospital,Public,62-70 Kangan Drive Berwick VIC 3806,4.43
269,Menarock LIFE Upper Ferntree Gully (Sherbrooke),3156,The Melbourne Eastern Private Hospital,Private,153-159 Scoresby Road Knox VIC 3155,3.33
269,Menarock LIFE Upper Ferntree Gully (Sherbrooke),3156,Angliss Hospital,Public,39 Albert Street Albert VIC 3156,0.88
552,Mercy Health Bethlehem Home for the Aged,3555,Bendigo Health (Anne Caudle),Public,100A Barnard Street Bendigo VIC 3550,2.05
552,Mercy Health Bethlehem Home for the Aged,3555,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,0.79
98,Mercy Place Abbotsford,3067,The Melbourne Clinic,Private,130 Church Street Yarra VIC 3121,0.85
98,Mercy Place Abbotsford,3067,Caritas Christi Hospice Ltd,Public,104 Kooyong Road Kew VIC 3101,0.78
581,Mercy Place Ave Maria (Shepparton),3630,Shepparton Private Hospital,Private,20 Fitzgerald Street Fitzgerald VIC 3630,0.51
581,Mercy Place Ave Maria (Shepparton),3630,Shepparton Hospital,Public,2-48 Graham Street Shepparton VIC 3630,0.1
464,Mercy Place Ballarat,3350,St John of God Ballarat Hospital,Private,101 Drummond Street Ballarat VIC 3350,1.22
464,Mercy Place Ballarat,3350,Ballarat Hospital,Public,1 Drummond Street Drummond VIC 3350,1.22
267,Mercy Place Boronia,3155,Angliss Hospital,Public,39 Albert Street Albert VIC 3156,2.85
267,Mercy Place Boronia,3155,The Melbourne Eastern Private Hospital,Private,153-159 Scoresby Road Knox VIC 3155,1.13
420,Mercy Place Colac,3250,Colac Area Health,Public,12 Connor Street Colac VIC 3250,0.48
420,Mercy Place Colac,3250,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,40.02
350,Mercy Place Corben,3194,Kingston Centre,Public,400 Warrigal Road Heatherton VIC 3202,2.26
350,Mercy Place Corben,3194,Como Private Hospital,Private,152-156 Como Parade Kingston VIC 3195,0.71
315,Mercy Place Dandenong,3175,Dandenong Hospital,Public,135 David Street Dandenong VIC 3175,0.81
315,Mercy Place Dandenong,3175,The Digestive Health Centre,Private,90 David Street David VIC 3175,0.79
0,Mercy Place East Melbourne,3002,St Vincent's Private Hospital East Melbourne,Private,159 Grey Street Melbourne VIC 3002,0.04
0,Mercy Place East Melbourne,3002,Eye and Ear on the Park,Public,2 Gordon Place Gordon VIC 3002,0.36
342,Mercy Place Fernhill,3191,Sandringham & District Memorial Hospital,Public,191-193 Bluff Road Sandringham VIC 3191,0.66
342,Mercy Place Fernhill,3191,Linacre Private Hospital,Private,12-16 Linacre Road Bayside VIC 3188,0.89
114,Mercy Place Keon Park,3073,Hyperbaric Health Wound Centre Bundoora,Private,920 Plenty Road Darebin VIC 3083,1.85
114,Mercy Place Keon Park,3073,Bundoora Extended Care Centre,Public,1231 Plenty Road Bundoora VIC 3083,1.81
723,Mercy Place Lynbrook,3975,Cranbourne Integrated Care Centre,Public,140-154 Sladen Street Cranbourne VIC 3977,3.87
723,Mercy Place Lynbrook,3975,The Hampton Park Women's Health Care Centre,Private,4 Warana Drive Casey VIC 3976,1.92
630,Mercy Place Montrose (Nursing Home),3765,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,3.4
630,Mercy Place Montrose (Nursing Home),3765,Yarra Ranges Health,Public,25 Market Street Lilydale VIC 3140,3.93
352,Mercy Place Mordialloc,3194,Como Private Hospital,Private,152-156 Como Parade Kingston VIC 3195,0.71
352,Mercy Place Mordialloc,3194,Kingston Centre,Public,400 Warrigal Road Heatherton VIC 3202,2.26
12,Mercy Place Newport,3015,Vision Day Surgery Footscray,Private,89 Paisley Street Maribyrnong VIC 3011,2.84
12,Mercy Place Newport,3015,Williamstown Hospital,Public,76A Railway Crescent Williamstown VIC 3016,1.69
355,Mercy Place Nixon,3195,Como Private Hospital,Private,152-156 Como Parade Kingston VIC 3195,1.52
355,Mercy Place Nixon,3195,Kingston Centre,Public,400 Warrigal Road Heatherton VIC 3202,3.66
358,Mercy Place Northcliffe,3196,Chelsea Heights Day Surgery & Endoscopy,Private,93 Wells Road Kingston VIC 3196,1.32
358,Mercy Place Northcliffe,3196,"Queen Elizabeth Centre, The",Public,37-53 Thomas Street Thomas VIC 3174,6.02
82,Mercy Place Parkville,3052,,Private,,
82,Mercy Place Parkville,3052,,Public,,
389,Mercy Place Rice Village,3216,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,3.3
389,Mercy Place Rice Village,3216,The Geelong Clinic,Private,94-102 Townsend Road Townsend VIC 3219,2.14
710,Mercy Place Rosebud,3939,Rosebud Hospital,Public,1527 Pascoe Road Pascoe VIC 3940,0.24
710,Mercy Place Rosebud,3939,Rosebud SurgiCentre,Private,1537 Pine Road Pine VIC 3940,0.29
582,Mercy Place Shepparton,3630,Shepparton Private Hospital,Private,20 Fitzgerald Street Fitzgerald VIC 3630,1.49
582,Mercy Place Shepparton,3630,Shepparton Hospital,Public,2-48 Graham Street Shepparton VIC 3630,1.32
304,Mercy Place Springvale,3172,Windsor Avenue Day Surgery,Private,17 Windsor Avenue Windsor VIC 3171,1.82
304,Mercy Place Springvale,3172,"Queen Elizabeth Centre, The",Public,37-53 Thomas Street Thomas VIC 3174,1.75
167,Mercy Place Templestowe,3107,Manningham Day Procedure Centre,Private,503/200 High Street Manningham VIC 3107,1.05
167,Mercy Place Templestowe,3107,Mercy Hospital for Women,Public,163 Studley Road Heidelberg VIC 3084,3.36
431,Mercy Place Warrnambool,3280,South West Healthcare (Warrnambool),Public,25 Ryot Street Warrnambool VIC 3280,0.76
431,Mercy Place Warrnambool,3280,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,0.35
36,Mercy Place Wyndham,3030,Mercy Public Hospitals Inc (Werribee),Public,300-310 Princes Highway Werribee VIC 3030,2.7
36,Mercy Place Wyndham,3030,Werribee Endoscopy Centre,Private,179 Princes Highway Wyndham VIC 3030,1.95
421,Merindah Lodge Aged Care Facility,3260,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,37.0
421,Merindah Lodge Aged Care Facility,3260,South West Healthcare (Camperdown),Public,9 Robinson Street Camperdown VIC 3260,0.06
130,Merv Irvine Nursing Home,3083,Victorian Gut Centre,Private,119 Plenty Road Whittlesea VIC 3083,0.71
130,Merv Irvine Nursing Home,3083,Bundoora Extended Care Centre,Public,1231 Plenty Road Bundoora VIC 3083,0.05
371,MiCare - Avondrust Lodge,3201,Bayside Day Procedure and Specialist Centre,Private,141 Cranbourne Road Frankston VIC 3199,3.93
371,MiCare - Avondrust Lodge,3201,Frankston Hospital,Public,2 Hastings Road Frankston VIC 3199,4.48
224,MiCare - Margriet Manor,3137,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,1.27
224,MiCare - Margriet Manor,3137,Maroondah Hospital,Public,1-15 Davey Drive Davey VIC 3135,3.02
225,MiCare - Overbeek Lodge,3137,Maroondah Hospital,Public,1-15 Davey Drive Davey VIC 3135,3.02
225,MiCare - Overbeek Lodge,3137,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,1.27
649,Millhaven Lodge,3810,Casey Hospital,Public,62-70 Kangan Drive Berwick VIC 3806,6.58
649,Millhaven Lodge,3810,Casey Radiation Oncology Centre,Private,2/55 Kangan Drive Casey VIC 3806,6.67
172,Millward,3109,Donvale Rehabilitation Hospital,Private,1119-1121 Doncaster Road Manningham VIC 3109,0.87
172,Millward,3109,Box Hill Hospital,Public,8 Arnold Street Arnold VIC 3128,3.46
547,Mirridong Residential Care,3550,Bendigo Health (Anne Caudle),Public,100A Barnard Street Bendigo VIC 3550,0.65
547,Mirridong Residential Care,3550,St John of God Bendigo Hospital,Private,133-145 Lily Street Lily VIC 3550,1.35
665,Mitchell House Hostel,3840,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,1.15
665,Mitchell House Hostel,3840,Latrobe Regional Hospital,Public,10 Village Avenue Traralgon VIC 3844,2.86
632,Monda Lodge Hostel,3777,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,17.26
632,Monda Lodge Hostel,3777,Healesville and District Hospital,Public,377 Maroondah Highway Healesville VIC 3777,0.16
336,Montclaire Aged Care,3186,Calvary Health Care Bethlehem,Public,476-482 Kooyong Road Kooyong VIC 3162,0.64
336,Montclaire Aged Care,3186,Mandometer Brighton,Private,412-414 Bay Street Bayside VIC 3186,0.37
288,Mooraleigh Hostel,3165,Monash Medical Centre (Moorabbin),Public,823-865 Centre Road Centre VIC 3165,0.77
288,Mooraleigh Hostel,3165,Holmesglen Private Hospital,Private,488-490 South Road Kingston VIC 3189,1.7
