,School,Postcode,Nearest Hospital,Type,Hopsital Address,Distance (miles)
1069,Surfside Primary School,3226,The Geelong Clinic,Private,94-102 Townsend Road Townsend VIC 3219,9.76
449,Surrey Hills Primary School,3127,Linley Clinic,Private,25 Bryson Street Boroondara VIC 3126,1.09
449,Surrey Hills Primary School,3127,Box Hill Hospital,Public,8 Arnold Street Arnold VIC 3128,1.25
1504,Suzanne Cory High School,3030,Wyndham Clinic,Private,242A Hoppers Lane Wyndham VIC 3030,0.47
1504,Suzanne Cory High School,3030,Mercy Public Hospitals Inc (Werribee),Public,300-310 Princes Highway Werribee VIC 3030,0.56
1455,Swan Hill College,3585,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,106.07
1455,Swan Hill College,3585,Swan Hill District Health (Swan Hill),Public,50-54 Splatt Street Splatt VIC 3585,0.43
740,Swan Hill North Primary School,3585,Swan Hill District Health (Swan Hill),Public,50-54 Splatt Street Splatt VIC 3585,0.85
740,Swan Hill North Primary School,3585,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,106.43
174,Swan Hill Primary School,3585,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,105.52
174,Swan Hill Primary School,3585,Swan Hill District Health (Swan Hill),Public,50-54 Splatt Street Splatt VIC 3585,0.87
1025,Swan Hill Specialist School,3585,Swan Hill District Health (Swan Hill),Public,50-54 Splatt Street Splatt VIC 3585,0.88
1025,Swan Hill Specialist School,3585,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,105.33
283,Swan Reach Primary School,3903,Heyfield Hospital Incorporated,Private,14-16 Licola Road Wellington VIC 3858,60.05
283,Swan Reach Primary School,3903,Bairnsdale Regional Health Service,Public,122 Day Street Bairnsdale VIC 3875,14.05
1521,Swifts Creek P-12 School,3896,Heyfield Hospital Incorporated,Private,14-16 Licola Road Wellington VIC 3858,71.12
1521,Swifts Creek P-12 School,3896,Omeo District Health,Public,10 Easton Street Omeo VIC 3898,13.58
1266,Swinburne Senior Secondary College,3122,Glenferrie Private Hospital,Private,29 Hilda Crescent Boroondara VIC 3122,0.6
1266,Swinburne Senior Secondary College,3122,St George's Health Service (Aged Care),Public,283 Cotham Road Kew VIC 3101,1.18
550,Sydenham - Hillside Primary School,3037,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,4.96
550,Sydenham - Hillside Primary School,3037,Sydenham Day Surgery,Private,566 Melton Highway Brimbank VIC 3037,0.63
1388,Sydney Road Community School,3056,Brunswick Private Hospital,Private,82 Moreland Road Moreland VIC 3056,1.06
1388,Sydney Road Community School,3056,Royal Melbourne Hospital (Royal Park Campus),Public,34-56 Poplar Road Parkville VIC 3052,0.93
825,Syndal South Primary School,3149,Waverley Endoscopy,Private,301 Blackburn Road Monash VIC 3149,0.2
825,Syndal South Primary School,3149,"Peter James Centre, The",Public,321-345 Burwood Highway Burwood VIC 3131,2.16
131,Talbot Primary School,3371,Maryborough District Health Service (Maryborough),Public,75 Clarendon Street Maryborough VIC 3465,8.73
131,Talbot Primary School,3371,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,26.61
338,Talgarno Primary School,3691,Tallangatta Health Service,Public,25 Barree Street Tallangatta VIC 3700,10.3
338,Talgarno Primary School,3691,Murray Valley Private Hospital,Private,2/69 Nordsvan Drive Wodonga VIC 3690,16.61
216,Tallangatta Primary School,3700,Tallangatta Health Service,Public,25 Barree Street Tallangatta VIC 3700,0.55
216,Tallangatta Primary School,3700,Murray Valley Private Hospital,Private,2/69 Nordsvan Drive Wodonga VIC 3690,17.47
1389,Tallangatta Secondary College,3700,Murray Valley Private Hospital,Private,2/69 Nordsvan Drive Wodonga VIC 3690,17.51
1389,Tallangatta Secondary College,3700,Tallangatta Health Service,Public,25 Barree Street Tallangatta VIC 3700,0.78
249,Tallarook Primary School,3659,Seymour Health,Public,1 Bretonneux Street Seymour VIC 3660,5.79
249,Tallarook Primary School,3659,Nagambie HealthCare,Private,22 Church Street Strathbogie VIC 3608,21.95
490,Tallygaroopna Primary School,3634,Shepparton Private Hospital,Private,20 Fitzgerald Street Fitzgerald VIC 3630,8.44
490,Tallygaroopna Primary School,3634,Shepparton Hospital,Public,2-48 Graham Street Shepparton VIC 3630,8.77
386,Tambo Upper Primary School,3885,Bairnsdale Regional Health Service,Public,122 Day Street Bairnsdale VIC 3875,13.73
386,Tambo Upper Primary School,3885,Heyfield Hospital Incorporated,Private,14-16 Licola Road Wellington VIC 3858,59.83
458,Tanjil South Primary School,3825,Latrobe Regional Hospital,Public,10 Village Avenue Traralgon VIC 3844,13.77
458,Tanjil South Primary School,3825,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,11.23
72,Taradale Primary School,3447,Castlemaine Health,Public,142 Cornish Street Castlemaine VIC 3450,9.82
72,Taradale Primary School,3447,St John of God Bendigo Hospital,Private,133-145 Lily Street Lily VIC 3550,26.59
141,Tarnagulla Primary School,3551,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,24.04
141,Tarnagulla Primary School,3551,Maryborough District Health Service (Dunolly),Public,20 Havelock Street Dunolly VIC 3472,7.77
1540,Tarneit P-9 College,3029,Westpoint Endoscopy Day Hospital,Private,243 Heaths Road Wyndham VIC 3030,2.76
1540,Tarneit P-9 College,3029,Mercy Public Hospitals Inc (Werribee),Public,300-310 Princes Highway Werribee VIC 3030,3.5
1513,Tarneit Rise Primary School,3029,Westpoint Endoscopy Day Hospital,Private,243 Heaths Road Wyndham VIC 3030,2.95
1513,Tarneit Rise Primary School,3029,Mercy Public Hospitals Inc (Werribee),Public,300-310 Princes Highway Werribee VIC 3030,3.88
1494,Tarneit Senior College,3029,Mercy Public Hospitals Inc (Werribee),Public,300-310 Princes Highway Werribee VIC 3030,3.76
1494,Tarneit Senior College,3029,Westpoint Endoscopy Day Hospital,Private,243 Heaths Road Wyndham VIC 3030,3.04
1584,Tarrington Lutheran School,3301,Hamilton Base Hospital,Public,20 Foster Street Hamilton VIC 3300,4.04
1584,Tarrington Lutheran School,3301,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,46.71
660,Tarwin Lower Primary School,3956,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,45.01
660,Tarwin Lower Primary School,3956,Gippsland Southern Health Service (Leongatha),Public,64 Koonwarra Road Leongatha VIC 3953,15.51
1109,Tarwin Valley Primary School,3956,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,33.33
1109,Tarwin Valley Primary School,3956,Gippsland Southern Health Service (Leongatha),Public,64 Koonwarra Road Leongatha VIC 3953,7.26
677,Tate Street Primary School Geelong,3219,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,1.27
677,Tate Street Primary School Geelong,3219,Geelong Private Hospital,Private,56-58 Bellerine Street Bellerine VIC 3220,1.31
239,Tatura Primary School,3616,Tatura Public Hospital,Public,64-68 Park Street Tatura VIC 3616,0.47
239,Tatura Primary School,3616,Shepparton Private Hospital,Private,20 Fitzgerald Street Fitzgerald VIC 3630,11.69
397,Tawonga Primary School,3697,Alpine Health (Mount Beauty),Public,2-8 Hollonds Street Hollonds VIC 3699,3.86
397,Tawonga Primary School,3697,Murray Valley Private Hospital,Private,2/69 Nordsvan Drive Wodonga VIC 3690,40.92
1160,Taylors Hill Primary School,3037,Sydenham Day Surgery,Private,566 Melton Highway Brimbank VIC 3037,1.61
1160,Taylors Hill Primary School,3037,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,4.28
1020,Taylors Lakes Primary School,3038,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,3.67
1020,Taylors Lakes Primary School,3038,Sydenham Day Surgery,Private,566 Melton Highway Brimbank VIC 3037,2.23
1447,Taylors Lakes Secondary College,3038,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,3.81
1447,Taylors Lakes Secondary College,3038,Sydenham Day Surgery,Private,566 Melton Highway Brimbank VIC 3037,2.19
528,Tecoma Primary School,3160,Angliss Hospital,Public,39 Albert Street Albert VIC 3156,1.8
528,Tecoma Primary School,3160,The Melbourne Eastern Private Hospital,Private,153-159 Scoresby Road Knox VIC 3155,5.49
361,Teesdale Primary School,3328,Hesse Rural Health Service (Winchelsea),Public,8 Gosney Street Winchelsea VIC 3241,15.24
361,Teesdale Primary School,3328,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,17.77
1472,Templestowe College,3107,Manningham Day Procedure Centre,Private,503/200 High Street Manningham VIC 3107,0.55
1472,Templestowe College,3107,Box Hill Hospital,Public,8 Arnold Street Arnold VIC 3128,3.21
866,Templestowe Heights Primary School,3107,Box Hill Hospital,Public,8 Arnold Street Arnold VIC 3128,3.22
866,Templestowe Heights Primary School,3107,Manningham Day Procedure Centre,Private,503/200 High Street Manningham VIC 3107,0.47
933,Templestowe Park Primary School,3106,Box Hill Hospital,Public,8 Arnold Street Arnold VIC 3128,4.2
933,Templestowe Park Primary School,3106,Manningham Day Procedure Centre,Private,503/200 High Street Manningham VIC 3107,1.93
855,Templestowe Valley Primary School,3107,Mercy Hospital for Women,Public,163 Studley Road Heidelberg VIC 3084,2.67
855,Templestowe Valley Primary School,3107,Manningham Day Procedure Centre,Private,503/200 High Street Manningham VIC 3107,0.92
976,Templeton Primary School,3152,Wantirna Health,Public,251 Mountain Highway Wantirna VIC 3152,0.94
976,Templeton Primary School,3152,Knox Private Hospital,Private,262 Mountain Highway Knox VIC 3152,0.87
1088,Tempy Primary School,3489,Mallee Track Health and Community Service (Ouyen),Public,28 Britt Street Ouyen VIC 3490,19.66
1088,Tempy Primary School,3489,Mildura Base Hospital,Private,216-240 Ontario Avenue Mildura VIC 3500,81.47
1232,Terang College,3264,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,25.52
1232,Terang College,3264,Terang and Mortlake Health Service (Terang),Public,13 Austin Avenue Terang VIC 3264,1.14
403,The Basin Primary School,3154,Angliss Hospital,Public,39 Albert Street Albert VIC 3156,3.4
403,The Basin Primary School,3154,The Melbourne Eastern Private Hospital,Private,153-159 Scoresby Road Knox VIC 3155,2.23
1970,The Currajong School,3145,Malvern Private Hospital,Private,3-9 Bryson Crescent Stonnington VIC 3145,0.61
1970,The Currajong School,3145,Caulfield General Medical Centre,Public,260 Kooyong Road Caulfield VIC 3162,2.41
1635,The Geelong College,3220,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,1.38
1635,The Geelong College,3220,St John of God Geelong Hospital,Private,80 Myers Street Myers VIC 3220,0.97
1445,The Grange P-12 College,3029,Mercy Public Hospitals Inc (Werribee),Public,300-310 Princes Highway Werribee VIC 3030,2.32
1445,The Grange P-12 College,3029,Westpoint Endoscopy Day Hospital,Private,243 Heaths Road Wyndham VIC 3030,1.36
1695,The Hamilton and Alexandra College,3300,Hamilton Base Hospital,Public,20 Foster Street Hamilton VIC 3300,0.32
1695,The Hamilton and Alexandra College,3300,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,50.28
2114,The Kilmore International School,3764,Kilmore and District Hospital,Public,1 Anderson Road Kilmore VIC 3764,0.28
2114,The Kilmore International School,3764,Goonawarra Day Hospital,Private,11 Dornoch Drive Hume VIC 3429,22.25
2007,The King David School,3143,Marie Stopes International East St Kilda,Private,338 Dandenong Road Dandenong VIC 3183,0.2
2007,The King David School,3143,Caulfield General Medical Centre,Public,260 Kooyong Road Caulfield VIC 3162,1.7
2057,The Knox School,3152,Vermont Private Hospital,Private,645-647 Burwood Hwy Whitehorse VIC 3133,1.17
2057,The Knox School,3152,Wantirna Health,Public,251 Mountain Highway Wantirna VIC 3152,1.25
552,The Lake Primary School,3505,Mildura Base Hospital,Public,216-240 Ontario Avenue Mildura VIC 3500,3.18
552,The Lake Primary School,3505,Mildura Base Hospital,Private,216-240 Ontario Avenue Mildura VIC 3500,3.18
1488,The Lakes South Morang College,3752,The Northern Hospital,Public,185 Cooper Street Epping VIC 3076,3.54
1488,The Lakes South Morang College,3752,Epping Radiation Oncology Centre,Private,230 Cooper Street Whittlesea VIC 3076,3.79
961,The Patch Primary School,3792,The Melbourne Eastern Private Hospital,Private,153-159 Scoresby Road Knox VIC 3155,7.27
961,The Patch Primary School,3792,Angliss Hospital,Public,39 Albert Street Albert VIC 3156,4.35
2141,Thomas Carr College,3029,Westpoint Endoscopy Day Hospital,Private,243 Heaths Road Wyndham VIC 3030,2.39
2141,Thomas Carr College,3029,Mercy Public Hospitals Inc (Werribee),Public,300-310 Princes Highway Werribee VIC 3030,2.63
1064,Thomas Chirnside Primary School,3030,Werribee Endoscopy Centre,Private,179 Princes Highway Wyndham VIC 3030,2.81
1064,Thomas Chirnside Primary School,3030,Mercy Public Hospitals Inc (Werribee),Public,300-310 Princes Highway Werribee VIC 3030,3.56
1047,Thomas Mitchell Primary School,3802,Dandenong Hospital,Public,135 David Street Dandenong VIC 3175,3.03
1047,Thomas Mitchell Primary School,3802,Dandenong Eye Clinic & Day Surgery Centre,Private,1-3 Falkiner Crescent Falkiner VIC 3175,2.8
778,Thomastown East Primary School,3074,The Northern Hospital,Public,185 Cooper Street Epping VIC 3076,1.99
778,Thomastown East Primary School,3074,Northpark Private Hospital,Private,10 Greenhills Road Whittlesea VIC 3083,2.16
938,Thomastown Meadows Primary School,3074,Epping Radiation Oncology Centre,Private,230 Cooper Street Whittlesea VIC 3076,2.41
938,Thomastown Meadows Primary School,3074,The Northern Hospital,Public,185 Cooper Street Epping VIC 3076,2.39
75,Thomastown Primary School,3074,Epping Radiation Oncology Centre,Private,230 Cooper Street Whittlesea VIC 3076,2.23
75,Thomastown Primary School,3074,The Northern Hospital,Public,185 Cooper Street Epping VIC 3076,2.06
1390,Thomastown Secondary College,3074,Epping Radiation Oncology Centre,Private,230 Cooper Street Whittlesea VIC 3076,2.02
1390,Thomastown Secondary College,3074,The Northern Hospital,Public,185 Cooper Street Epping VIC 3076,1.94
863,Thomastown West Primary School,3074,Epping Radiation Oncology Centre,Private,230 Cooper Street Whittlesea VIC 3076,2.03
863,Thomastown West Primary School,3074,The Northern Hospital,Public,185 Cooper Street Epping VIC 3076,1.96
1450,Thornbury High School,3071,North Eastern Rehabilitation Centre,Private,134-146 Ford Street Banyule VIC 3079,0.58
1450,Thornbury High School,3071,Heidelberg Repatriation Hospital,Public,300 Waterdale Road Waterdale VIC 3081,1.22
593,Thornbury Primary School,3071,Royal Talbot Rehabilitation Centre,Public,1 Yarra Boulevard Kew VIC 3101,2.77
593,Thornbury Primary School,3071,Panch Day Surgery Centre,Private,84-90 Hotham Street Darebin VIC 3072,0.85
479,Thorpdale Primary School,3835,West Gippsland Healthcare Group (Warragul),Public,41 Landsborough Street Warragul VIC 3820,15.83
479,Thorpdale Primary School,3835,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,14.0
1139,Timbarra P-9 College,3806,Casey Hospital,Public,62-70 Kangan Drive Berwick VIC 3806,2.43
1139,Timbarra P-9 College,3806,Casey Day Procedure and Specialist Centre,Private,30-32 Verdun Drive Casey VIC 3805,0.77
1244,Timboon P-12 School,3268,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,28.04
1244,Timboon P-12 School,3268,Timboon and District Healthcare Service,Public,21 Hospital Road Timboon VIC 3268,0.17
189,Timor Primary School,3465,Maryborough District Health Service (Maryborough),Public,75 Clarendon Street Maryborough VIC 3465,4.44
189,Timor Primary School,3465,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,34.09
1714,Tintern Grammar,3135,Ringwood Private Hospital,Private,36 Mcclelland Road Maroondah VIC 3135,0.76
1714,Tintern Grammar,3135,Maroondah Hospital,Public,1-15 Davey Drive Davey VIC 3135,0.59
905,Tinternvale Primary School,3135,Ringwood Private Hospital,Private,36 Mcclelland Road Maroondah VIC 3135,1.27
905,Tinternvale Primary School,3135,Maroondah Hospital,Public,1-15 Davey Drive Davey VIC 3135,0.96
1241,Tongala Primary School,3621,Shepparton Private Hospital,Private,20 Fitzgerald Street Fitzgerald VIC 3630,26.41
1241,Tongala Primary School,3621,Kyabram and District Health Services,Public,86-96 Fenaughty Street Kyabram VIC 3620,6.47
193,Tooborac Primary School,3522,Nagambie HealthCare,Private,22 Church Street Strathbogie VIC 3608,26.43
193,Tooborac Primary School,3522,Heathcote Health,Public,39-55 Hospital Street Heathcote VIC 3523,9.24
240,Toolamba Primary School,3614,Shepparton Private Hospital,Private,20 Fitzgerald Street Fitzgerald VIC 3630,9.78
240,Toolamba Primary School,3614,Tatura Public Hospital,Public,64-68 Park Street Tatura VIC 3616,7.5
512,Toolangi Primary School,3777,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,21.39
512,Toolangi Primary School,3777,Healesville and District Hospital,Public,377 Maroondah Highway Healesville VIC 3777,8.29
1105,Toolern Vale and District Primary School,3337,Melton Health,Public,195-209 Barries Road Barries VIC 3337,5.86
1105,Toolern Vale and District Primary School,3337,Goonawarra Day Hospital,Private,11 Dornoch Drive Hume VIC 3429,8.72
111,Toongabbie Primary School,3856,Latrobe Regional Hospital,Public,10 Village Avenue Traralgon VIC 3844,13.96
111,Toongabbie Primary School,3856,Heyfield Hospital Incorporated,Private,14-16 Licola Road Wellington VIC 3858,10.26
392,Toora Primary School,3962,South Gippsland Hospital (Foster),Public,83 Station Road Foster VIC 3960,6.6
392,Toora Primary School,3962,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,31.32
254,Tooradin Primary School,3980,Kooweerup Regional Health Service,Public,215 Rossiter Road Rossiter VIC 3981,5.81
254,Tooradin Primary School,3980,Casey Radiation Oncology Centre,Private,2/55 Kangan Drive Casey VIC 3806,11.34
1716,Toorak College,3930,Frankston Hospital,Public,2 Hastings Road Frankston VIC 3199,2.45
1716,Toorak College,3930,Frankston Radiation Oncology Centre,Private,26 Frankston-flinders Road Frankston VIC 3199,2.48
483,Toorak Primary School,3142,Toorak Cosmetic Surgery Day Centre,Private,109 Mathoura Road Stonnington VIC 3142,0.27
483,Toorak Primary School,3142,The Alfred,Public,55 Commercial Road Melbourne VIC 3004,1.52
616,Toorloo Arm Primary School,3909,Bairnsdale Regional Health Service,Public,122 Day Street Bairnsdale VIC 3875,24.25
616,Toorloo Arm Primary School,3909,Heyfield Hospital Incorporated,Private,14-16 Licola Road Wellington VIC 3858,69.77
697,Tootgarook Primary School,3941,Rosebud Hospital,Public,1527 Pascoe Road Pascoe VIC 3940,1.57
697,Tootgarook Primary School,3941,Rosebud SurgiCentre,Private,1537 Pine Road Pine VIC 3940,1.52
1200,Torquay Coast Primary School,3228,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,10.56
1200,Torquay Coast Primary School,3228,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,7.75
529,Torquay P-6 College,3228,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,8.81
529,Torquay P-6 College,3228,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,12.11
1391,Trafalgar High School,3824,West Gippsland Healthcare Group (Warragul),Public,41 Landsborough Street Warragul VIC 3820,12.89
1391,Trafalgar High School,3824,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,14.17
383,Trafalgar Primary School,3824,West Gippsland Healthcare Group (Warragul),Public,41 Landsborough Street Warragul VIC 3820,12.98
383,Trafalgar Primary School,3824,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,14.08
717,Traralgon (Kosciuszko Street) Primary School,3844,Latrobe Regional Hospital,Public,10 Village Avenue Traralgon VIC 3844,2.75
717,Traralgon (Kosciuszko Street) Primary School,3844,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,5.37
718,Traralgon (Liddiard Road) Primary School,3844,Latrobe Regional Hospital,Public,10 Village Avenue Traralgon VIC 3844,4.52
718,Traralgon (Liddiard Road) Primary School,3844,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,7.29
695,Traralgon (Stockdale Road) Primary School,3844,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,6.0
695,Traralgon (Stockdale Road) Primary School,3844,Latrobe Regional Hospital,Public,10 Village Avenue Traralgon VIC 3844,3.49
1456,Traralgon College,3844,Latrobe Regional Hospital,Public,10 Village Avenue Traralgon VIC 3844,3.23
1456,Traralgon College,3844,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,5.72
371,Traralgon South Primary School,3844,Latrobe Regional Hospital,Public,10 Village Avenue Traralgon VIC 3844,6.58
371,Traralgon South Primary School,3844,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,8.7
179,Trawalla Primary School,3373,Beaufort & Skipton Health Service (Beaufort),Public,24-28 Havelock Street Beaufort VIC 3373,4.84
179,Trawalla Primary School,3373,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,21.14
273,Trentham District Primary School,3458,Daylesford District Hospital,Public,15 Hospital Street Daylesford VIC 3460,10.63
273,Trentham District Primary School,3458,Ballan District Health & Care,Private,33 Cowie Street Moorabool VIC 3342,15.68
2159,Trinity Catholic Primary School,3805,Casey Hospital,Public,62-70 Kangan Drive Berwick VIC 3806,2.77
2159,Trinity Catholic Primary School,3805,Casey Day Procedure and Specialist Centre,Private,30-32 Verdun Drive Casey VIC 3805,2.3
2180,Trinity Catholic School,3121,Caritas Christi Hospice Ltd,Public,104 Kooyong Road Kew VIC 3101,0.86
2180,Trinity Catholic School,3121,The Melbourne Clinic,Private,130 Church Street Yarra VIC 3121,0.48
1630,Trinity College Colac Inc,3250,Colac Area Health,Public,12 Connor Street Colac VIC 3250,0.82
1630,Trinity College Colac Inc,3250,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,41.05
1623,Trinity Grammar School Kew,3101,St George's Health Service (Aged Care),Public,283 Cotham Road Kew VIC 3101,0.97
1623,Trinity Grammar School Kew,3101,Glenferrie Private Hospital,Private,29 Hilda Crescent Boroondara VIC 3122,0.68
2055,Trinity Lutheran College,3500,Mildura Base Hospital,Private,216-240 Ontario Avenue Mildura VIC 3500,1.37
2055,Trinity Lutheran College,3500,Mildura Base Hospital,Public,216-240 Ontario Avenue Mildura VIC 3500,1.37
1154,Truganina P-9 College,3029,Mercy Public Hospitals Inc (Werribee),Public,300-310 Princes Highway Werribee VIC 3030,3.42
1154,Truganina P-9 College,3029,Westpoint Endoscopy Day Hospital,Private,243 Heaths Road Wyndham VIC 3030,3.43
1151,Truganina South Primary School,3029,Wyndham Clinic,Private,242A Hoppers Lane Wyndham VIC 3030,2.06
1151,Truganina South Primary School,3029,Mercy Public Hospitals Inc (Werribee),Public,300-310 Princes Highway Werribee VIC 3030,2.06
710,Tucker Road Bentleigh Primary School,3204,Monash Medical Centre (Moorabbin),Public,823-865 Centre Road Centre VIC 3165,1.13
710,Tucker Road Bentleigh Primary School,3204,Holmesglen Private Hospital,Private,488-490 South Road Kingston VIC 3189,0.21
788,Tullamarine Primary School,3043,Broadmeadows Health Service,Public,35-57 Johnstone Street Jacana VIC 3047,2.23
788,Tullamarine Primary School,3043,Keilor Private,Private,12A Kennedy Street Brimbank VIC 3036,2.78
1197,Tulliallan Primary School,3977,Casey Hospital,Public,62-70 Kangan Drive Berwick VIC 3806,2.74
1197,Tulliallan Primary School,3977,Casey Radiation Oncology Centre,Private,2/55 Kangan Drive Casey VIC 3806,2.69
388,Tungamah Primary School,3728,Yarrawonga Health,Public,33 Piper Street Yarrawonga VIC 3730,12.57
388,Tungamah Primary School,3728,Wangaratta Private Hospital,Private,134-150 Templeton Street Wangaratta VIC 3677,27.42
500,Tyabb Primary School,3913,Golf Links Road Rehabilitation Centre,Public,125 Market Road Frankston VIC 3199,6.13
500,Tyabb Primary School,3913,Beleura Private Hospital,Private,925 Nepean Highway Nepean VIC 3931,6.81
548,Tyabb Railway Station Primary School,3913,Golf Links Road Rehabilitation Centre,Public,125 Market Road Frankston VIC 3199,6.58
548,Tyabb Railway Station Primary School,3913,Peninsula Private Hospital,Private,525 Mcclelland Drive Frankston VIC 3910,7.29
382,Tyers Primary School,3844,Latrobe Regional Hospital,Public,10 Village Avenue Traralgon VIC 3844,4.82
382,Tyers Primary School,3844,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,5.57
74,Tylden Primary School,3444,Kyneton District Health Service,Public,7-25 Fenaughty Drive Kyneton VIC 3444,5.92
74,Tylden Primary School,3444,Ballan District Health & Care,Private,33 Cowie Street Moorabool VIC 3342,21.5
1100,Tyrrell College,3533,Mildura Health Private Hospital,Private,220-228 Thirteenth Street Mildura VIC 3500,99.78
1100,Tyrrell College,3533,Mallee Track Health & Community Service (Sea Lake),Public,33-43 Mcclelland Avenue Mcclelland VIC 3533,0.65
534,Ultima Primary School,3544,Swan Hill District Health (Swan Hill),Public,50-54 Splatt Street Splatt VIC 3585,18.87
534,Ultima Primary School,3544,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,104.68
308,Undera Primary School,3629,Shepparton Private Hospital,Private,20 Fitzgerald Street Fitzgerald VIC 3630,12.14
308,Undera Primary School,3629,Kyabram and District Health Services,Public,86-96 Fenaughty Street Kyabram VIC 3620,10.22
587,Underbool Primary School,3509,Mallee Track Health and Community Service (Ouyen),Public,28 Britt Street Ouyen VIC 3490,29.03
587,Underbool Primary School,3509,Mildura Base Hospital,Private,216-240 Ontario Avenue Mildura VIC 3500,70.44
1393,University High School,3052,"Royal Women's Hospital, The",Public,20 Flemington Road Parkville VIC 3052,0.15
1393,University High School,3052,Frances Perry House,Private,20 Flemington Road Melbourne VIC 3052,0.14
837,University Park Primary School,3021,Fresenius Medical Care Sunshine Dialysis Clinic,Private,147-149 Furlong Road Brimbank VIC 3021,0.83
837,University Park Primary School,3021,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,0.79
602,Upper Ferntree Gully Primary School,3156,Angliss Hospital,Public,39 Albert Street Albert VIC 3156,0.22
602,Upper Ferntree Gully Primary School,3156,The Melbourne Eastern Private Hospital,Private,153-159 Scoresby Road Knox VIC 3155,3.74
195,Upper Plenty Primary School,3756,Kilmore and District Hospital,Public,1 Anderson Road Kilmore VIC 3764,10.04
195,Upper Plenty Primary School,3756,Epping Radiation Oncology Centre,Private,230 Cooper Street Whittlesea VIC 3076,15.84
502,Upper Sandy Creek Primary School,3695,Murray Valley Private Hospital,Private,2/69 Nordsvan Drive Wodonga VIC 3690,19.95
502,Upper Sandy Creek Primary School,3695,Tallangatta Health Service,Public,25 Barree Street Tallangatta VIC 3700,10.52
1395,Upper Yarra Secondary College,3797,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,18.38
1395,Upper Yarra Secondary College,3797,Healesville and District Hospital,Public,377 Maroondah Highway Healesville VIC 3777,11.29
1396,Upwey High School,3158,The Melbourne Eastern Private Hospital,Private,153-159 Scoresby Road Knox VIC 3155,4.98
1396,Upwey High School,3158,Angliss Hospital,Public,39 Albert Street Albert VIC 3156,1.26
684,Upwey Primary School,3158,The Melbourne Eastern Private Hospital,Private,153-159 Scoresby Road Knox VIC 3155,4.81
684,Upwey Primary School,3158,Angliss Hospital,Public,39 Albert Street Albert VIC 3156,1.09
808,Upwey South Primary School,3158,The Melbourne Eastern Private Hospital,Private,153-159 Scoresby Road Knox VIC 3155,5.1
808,Upwey South Primary School,3158,Angliss Hospital,Public,39 Albert Street Albert VIC 3156,1.23
368,Urquhart Park Primary School,3350,St John of God Ballarat Hospital,Private,101 Drummond Street Ballarat VIC 3350,1.07
