,School,Nearest Hospital,Hopsital Address,Distance (miles)
1733,Our Lady of Lourdes School,Cabrini Prahran,646-646A High Street Stonnington VIC 3181,0.12
1734,St Joseph's School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,93.29
1735,Mentone Grammar School,Como Private Hospital,152-156 Como Parade Kingston VIC 3195,0.33
1736,Ivanhoe Girls' Grammar School,Ivanhoe Endoscopy Centre,226 Princes Road Banyule VIC 3079,0.16
1737,St Mary's School,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,27.06
1738,Carey Baptist Grammar School,Cotham Private Hospital,209 Cotham Road Boroondara VIC 3101,0.42
1739,Kilvington Grammar School,Melbourne Day Surgery Centre,961 High Road High VIC 3162,1.0
1740,Haileybury College,Chelsea Heights Day Surgery & Endoscopy,93 Wells Road Kingston VIC 3196,2.68
1741,St Therese's School,Essendon Private Clinic,665 Wantirna Road Wantirna VIC 3039,1.25
1742,Sacred Heart School,Euroa Health Inc,36 Kennedy Street Strathbogie VIC 3666,32.42
1743,Our Lady of Good Counsel School,Cotham Private Hospital,209 Cotham Road Boroondara VIC 3101,0.81
1744,Strathcona Baptist Girls' Grammar,Linley Clinic,25 Bryson Street Boroondara VIC 3126,0.13
1745,St Kevin's School,Bentleigh Surgicentre,157 Jasper Road Jasper VIC 3204,1.09
1746,Mentone Girls' Grammar School,Como Private Hospital,152-156 Como Parade Kingston VIC 3195,0.52
1747,St Joseph's School,Chelsea Heights Day Surgery & Endoscopy,93 Wells Road Kingston VIC 3196,1.73
1748,Gippsland Grammar,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,17.32
1749,St Finbar's School,Epworth Rehabilitation Brighton,85-93 Wilson Street Bayside VIC 3186,0.83
1750,Loreto Mandeville Hall,Cabrini Prahran,646-646A High Street Stonnington VIC 3181,0.52
1751,St Dominic's School,Linley Clinic,25 Bryson Street Boroondara VIC 3126,0.8
1752,St Mary's School,Linacre Private Hospital,12-16 Linacre Road Bayside VIC 3188,0.67
1753,Holy Rosary School,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,26.5
1754,St Mary's School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,65.8
1755,Camberwell Grammar School,Cotham Private Hospital,209 Cotham Road Boroondara VIC 3101,1.11
1756,St Joseph's School,Beleura Private Hospital,925 Nepean Highway Nepean VIC 3931,12.55
1757,Brighton Grammar School,Cabrini Brighton,237-243 New Street Bayside VIC 3186,0.12
1758,St Fidelis' School,John Fawkner Private Hospital,275 Moreland Road Moreland VIC 3058,0.49
1759,Huntingtower School,Waverley Endoscopy,301 Blackburn Road Monash VIC 3149,0.62
1760,St Francis Xavier's School,Vision Day Surgery Eastern,852 Whitehorse Road Whitehorse VIC 3128,0.66
1761,St Mary's School,Altona Endoscopy Centre,3-5 Sargood Street Sargood VIC 3018,0.21
1762,Our Lady Help of Christians School,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,2.33
1763,Our Lady of the Sacred Heart School,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,5.3
1764,St Francis Xavier School,"Southern Eye Centre, Day Surgery & Laser Clinic",42-44 Cranbourne Road Frankston VIC 3199,0.37
1765,Our Lady of Sion College,Vision Day Surgery Eastern,852 Whitehorse Road Whitehorse VIC 3128,0.57
1766,St Gabriel's School,Reservoir Private Hospital Day Procedure Centre,73-75 Pine Street Darebin VIC 3073,0.39
1767,St Paul's School,Bentleigh Surgicentre,157 Jasper Road Jasper VIC 3204,0.19
1768,St Joseph's School,Chesterville Day Hospital,28 Chesterville Road Kingston VIC 3192,2.12
1769,Salesian College,Goonawarra Day Hospital,11 Dornoch Drive Hume VIC 3429,0.76
1770,St Patrick's School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,16.07
1771,Kingswood College,Vision Day Surgery Eastern,852 Whitehorse Road Whitehorse VIC 3128,1.04
1772,St Joseph's School,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,14.51
1773,St Patrick's School,Bentleigh Surgicentre,157 Jasper Road Jasper VIC 3204,1.82
1774,St Roch's School,Epworth Rehabilitation Camberwell,888 Toorak Road Boroondara VIC 3124,0.8
1775,St Margaret's School,St John of God Berwick Hospital,3 Gibb Street Casey VIC 3806,0.11
1776,Camberwell Girls Grammar School,Cotham Private Hospital,209 Cotham Road Boroondara VIC 3101,0.91
1777,St Anne's School,Kew Endoscopy,828 High Street Boroondara VIC 3102,0.69
1778,Our Lady of Perpetual Help School,Eastside Endoscopy Centre,33 Wantirna Road Maroondah VIC 3134,0.35
1779,St Francis Xavier's School,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,1.27
1780,St Joseph's School,Rosebud SurgiCentre,1537 Pine Road Pine VIC 3940,7.84
1781,St Cecilia's School,Epworth Rehabilitation Camberwell,888 Toorak Road Boroondara VIC 3124,0.62
1782,St Joseph's School,Cabrini Health Elsternwick Rehabilitation,494-498 High Road High VIC 3185,0.3
1783,St Joseph's School,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,8.46
1784,"Preshil, The Margaret Lyttle Memorial School",Cotham Private Hospital,209 Cotham Road Boroondara VIC 3101,0.54
1785,St Peter's School,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,1.01
1786,Santa Maria College,Darebin Endoscopy Services,42 Station Street Darebin VIC 3078,1.11
1787,Sacred Heart School,Sir John Monash Private Hospital,212-220 Clayton Road Monash VIC 3168,2.22
1788,St Mark's School,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,1.01
1789,St John the Baptist School,The Melbourne Eastern Private Hospital,153-159 Scoresby Road Knox VIC 3155,2.64
1790,St John's School,Mitcham Private Hospital,36 Plenty Road Whitehorse VIC 3132,0.47
1791,St Mary's School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,4.05
1792,St Raphael's School,Reservoir Private Hospital Day Procedure Centre,73-75 Pine Street Darebin VIC 3073,1.18
1793,St Kevin's College,Epworth Hawthorn,46-52 Burwood Road Boroondara VIC 3122,0.98
1794,St John the Baptist's School,Casey Radiation Oncology Centre,2/55 Kangan Drive Casey VIC 3806,12.97
1795,St Vincent de Paul's School,Essendon Private Clinic,665 Wantirna Road Wantirna VIC 3039,1.63
1796,St Joseph's College Geelong,St John of God Geelong Hospital,80 Myers Street Myers VIC 3220,1.42
1797,St Joseph's School,Windsor Avenue Day Surgery,17 Windsor Avenue Windsor VIC 3171,0.14
1798,St Bede's College,Como Private Hospital,152-156 Como Parade Kingston VIC 3195,0.26
1799,Holy Name School,Panch Day Surgery Centre,84-90 Hotham Street Darebin VIC 3072,1.28
1800,Siena College Ltd,Linley Clinic,25 Bryson Street Boroondara VIC 3126,0.44
1801,St Bernard's School,Coburg Endoscopy Centre,15 Munro Street Moreland VIC 3058,0.47
1802,St Benedict's School,Delmont Private Hospital,298-308 Warrigal Road Boroondara VIC 3146,0.57
1803,St Oliver Plunkett's School,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,0.61
1804,Corpus Christi School,Western Radiation Oncology Centre,1-9 Marion Street Maribyrnong VIC 3011,1.27
1805,St Robert's School,St John of God Geelong Hospital,80 Myers Street Myers VIC 3220,0.88
1806,St Bernard's College,The Essendon Private Hospital,35 Rosehill Road Rosehill VIC 3040,0.14
1807,Whitefriars College Inc,Mitcham Private Hospital,25-27 Thirteenth Road Whitehorse VIC 3132,1.32
1808,St Michael's School,Glen Iris Private,314 Warrigal Road Boroondara VIC 3146,0.76
1809,St Mary's School,Ballarat Surgicentre,5-9 Wood Street Ballarat VIC 3350,8.07
1810,Our Lady of the Sacred Heart College,Bentleigh Surgicentre,157 Jasper Road Jasper VIC 3204,0.39
1811,St Bede's School,Kew Endoscopy,828 High Street Boroondara VIC 3102,0.47
1812,Salesian College,Skin Cancer Day Surgery,19 Cleveland Road Monash VIC 3147,1.05
1813,St Patrick's School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,146.93
1814,St Margaret's School,Geelong Private Hospital,56-58 Bellerine Street Bellerine VIC 3220,1.07
1815,Mount Scopus Memorial College,Delmont Private Hospital,298-308 Warrigal Road Boroondara VIC 3146,1.46
1816,St Kieran's School,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,9.32
1817,Marcellin College,Kew Endoscopy,828 High Street Boroondara VIC 3102,1.75
1818,Marist-Sion College,Neerim District Health Service,29-39 Church Road Church VIC 3831,9.68
1819,Henderson College,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,2.72
1820,St Theresa's School,Dr Scope,493 Ballarat Road Brimbank VIC 3020,0.74
1821,St Bernadette's School,North Eastern Rehabilitation Centre,134-146 Ford Street Banyule VIC 3079,0.16
1822,St Colman's School,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,26.68
1823,St Agnes' School,Bayside Endoscopy Day Hospital,437-441 South Road South VIC 3204,0.94
1824,Our Lady of the Assumption School,Chesterville Day Hospital,28 Chesterville Road Kingston VIC 3192,0.38
1825,Nunawading Christian College-Primary,Forest Hill Dialysis Clinic,69 Mahoneys Road Whitehorse VIC 3131,1.01
1826,Sacred Heart School,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,1.18
1827,St Malachy's School,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,112.61
1828,Heritage College,Casey Radiation Oncology Centre,2/55 Kangan Drive Casey VIC 3806,1.61
1829,St Mary's School,Euroa Health Inc,36 Kennedy Street Strathbogie VIC 3666,30.83
1830,Resurrection House,Northwest Day Hospital,221 Maribyrnong Road Maribyrnong VIC 3032,1.03
1831,Adass Israel School,Cabrini Health Elsternwick Rehabilitation,494-498 High Road High VIC 3185,0.13
1832,Holy Spirit School,North Eastern Rehabilitation Centre,134-146 Ford Street Banyule VIC 3079,0.84
1833,Sacred Heart School,St Albans Endoscopy Centre,328-330 Station Road Brimbank VIC 3021,1.21
1834,St Thomas The Apostle School,Bellbird Private Hospital,198 Canterbury Road Whitehorse VIC 3130,0.67
1835,St Mary's School,Nagambie HealthCare,22 Church Street Strathbogie VIC 3608,15.4
1836,St Michael's School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,0.27
1837,St Thomas Aquinas School,Specialist Surgicentre Geelong,200 Malop Street Malop VIC 3220,4.08
1838,St Pius X School,Warringal Private Hospital,216 Burgundy Street Banyule VIC 3084,0.95
1839,St Margaret Mary's School,Vision Day Surgery Footscray,89 Paisley Street Maribyrnong VIC 3011,2.19
1840,Monivae College,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,49.32
1841,St Mary Magdalen's Parish Primary School,Skin Cancer Day Surgery,19 Cleveland Road Monash VIC 3147,0.84
1842,St Anthony's School,Noble Park Endoscopy Centre,1304 Heatherton Road Heatherton VIC 3174,1.0
1843,St Peter's School,Monash Surgical Private Hospital,252-256 Clayton Road Monash VIC 3168,0.12
1844,St Joseph's School,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,106.78
1845,Yeshivah College,Masada Private Hospital,24-48 Balaclava Road Balaclava VIC 3183,0.19
1846,St John Bosco's School,The Essendon Private Hospital,35 Rosehill Road Rosehill VIC 3040,0.39
1847,Holy Family School,St John of God Geelong Hospital,80 Myers Street Myers VIC 3220,2.97
1848,Holy Spirit Parish School,St John of God Geelong Hospital,80 Myers Street Myers VIC 3220,1.86
1849,St Mary's School,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,0.84
1850,Mother of God School,Fresenius Medical Care Sunshine Dialysis Clinic,147-149 Furlong Road Brimbank VIC 3021,1.52
1851,St Peter Chanel School,St Albans Endoscopy Centre,328-330 Station Road Brimbank VIC 3021,1.78
1852,Christ the King Primary School,Western Gastroenterology Services,30 Eleanor Street Maribyrnong VIC 3011,1.32
1853,Corpus Christi School,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,1.9
1854,Killester College,Windsor Avenue Day Surgery,17 Windsor Avenue Windsor VIC 3171,0.55
1855,St Paul's School,Dr Scope,493 Ballarat Road Brimbank VIC 3020,1.53
1856,St Patrick's School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,49.46
1857,Clonard College,St John of God Geelong Hospital,80 Myers Street Myers VIC 3220,2.09
1858,Stella Maris School,Chesterville Day Hospital,28 Chesterville Road Kingston VIC 3192,1.72
1859,St Therese's School,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,1.93
1860,St Bernadette's School,Dr Scope,493 Ballarat Road Brimbank VIC 3020,0.47
1861,St James' School,St John of God Ballarat Hospital,101 Drummond Street Ballarat VIC 3350,3.2
1862,Rossbourne School,Epworth Hawthorn,46-52 Burwood Road Boroondara VIC 3122,0.23
1863,Sacred Heart School,Mildura Health Private Hospital,220-228 Thirteenth Street Mildura VIC 3500,0.43
1864,Beth Rivkah Ladies College,Masada Private Hospital,24-48 Balaclava Road Balaclava VIC 3183,0.13
1865,St Margaret's Primary School,Northwest Day Hospital,221 Maribyrnong Road Maribyrnong VIC 3032,1.05
1866,Immaculate Heart of Mary School,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,7.23
1867,Holy Family School,Waverley Endoscopy,301 Blackburn Road Monash VIC 3149,1.02
1868,St Gerard's School,St John of God Pinelodge Clinic,1480-1486 Heatherton Road Heatherton VIC 3175,0.42
1869,St Mel's School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,2.29
1870,Our Lady of Perpetual Succour School,Vision Day Surgery Eastern,852 Whitehorse Road Whitehorse VIC 3128,0.96
1871,St Catherine's School,Holmesglen Private Hospital,488-490 South Road Kingston VIC 3189,0.23
1872,Sacred Heart Girls' College,Sir John Monash Private Hospital,212-220 Clayton Road Monash VIC 3168,2.25
1873,St Vincent de Paul's School,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,1.08
1874,St Peter's Lutheran School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,124.24
1875,St Mary's School,Mildura Health Private Hospital,220-228 Thirteenth Street Mildura VIC 3500,99.24
1876,St Joseph's School,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,17.99
1877,St Stephen's School,Reservoir Private Hospital Day Procedure Centre,73-75 Pine Street Darebin VIC 3073,1.23
1878,St Brendan's School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,67.52
1879,St Martin of Tours School,Heidelberg Endoscopy and Day Surgery Centre,177-179 Northern Road Banyule VIC 3081,0.98
1880,St Michael's School,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,17.46
1881,Christ Our Holy Redeemer School,Sir John Monash Private Hospital,212-220 Clayton Road Monash VIC 3168,1.76
1882,Our Lady of the Nativity School,The Essendon Private Hospital,35 Rosehill Road Rosehill VIC 3040,0.82
1883,St John's Regional College,Corymbia House Day Hospital,92-94 David Street David VIC 3175,1.03
1884,Nagle College,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,44.98
1885,St Mary's School,Mildura Health Private Hospital,220-228 Thirteenth Street Mildura VIC 3500,45.49
1886,Our Lady's School,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,1.66
1887,Emmaus College,Forest Hill Dialysis Clinic,69 Mahoneys Road Whitehorse VIC 3131,0.9
1888,St Dominic's School,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,2.94
1889,St Patrick's School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,26.55
1890,St Bridget's School,Epworth Eastern,1 Arnold Street Whitehorse VIC 3128,1.56
1891,St Leonard's School,The Glen Endoscopy Centre,302 Springvale Road Monash VIC 3150,0.16
1892,St Scholastica's School,Skin Cancer Day Surgery,19 Cleveland Road Monash VIC 3147,1.6
1893,St Christopher's School,Waverley Endoscopy,301 Blackburn Road Monash VIC 3149,0.67
1894,St John Vianney's School,Como Private Hospital,152-156 Como Parade Kingston VIC 3195,1.07
1895,Ss Peter & Paul's School,Donvale Rehabilitation Hospital,1119-1121 Doncaster Road Manningham VIC 3109,0.99
1896,St Mary of the Angels College,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,23.66
1897,Holy Family School,Dandenong Eye Clinic & Day Surgery Centre,1-3 Falkiner Crescent Falkiner VIC 3175,1.4
1898,Aquinas College,Eastside Endoscopy Centre,33 Wantirna Road Maroondah VIC 3134,0.47
1899,Leibler Yavneh College,Cabrini Health Elsternwick Rehabilitation,494-498 High Road High VIC 3185,0.53
1900,Peninsula Grammar,Beleura Private Hospital,925 Nepean Highway Nepean VIC 3931,2.92
1901,St Matthew's School,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,2.06
1902,St John Vianney's School,Springvale Endoscopy Centre and Day Hospital,20 Balmoral Avenue Balmoral VIC 3171,1.28
1903,St Luke's School,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,1.63
1904,St Francis de Sales School,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,1.47
1905,St John's Lutheran School Geelong,St John of God Geelong Hospital,80 Myers Street Myers VIC 3220,0.63
1906,St Thomas More's School,The Melbourne Eastern Private Hospital,153-159 Scoresby Road Knox VIC 3155,5.88
1907,St Pius X School,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,0.85
1908,St Christopher's School,The Essendon Private Hospital,35 Rosehill Road Rosehill VIC 3040,1.64
1909,Sacred Heart School,Epworth Geelong,1 Epworth Place Epworth VIC 3216,40.99
1910,Sacred Heart School,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,3.62
1911,St Michael's School,Berwick Surgicentre,22 Langmore Lane Casey VIC 3806,0.39
1912,Ave Maria College,The Essendon Private Hospital,35 Rosehill Road Rosehill VIC 3040,0.89
1913,Bialik College,Epworth Rehabilitation Camberwell,888 Toorak Road Boroondara VIC 3124,0.67
1914,Our Lady of the Way School,Hyperbaric Health Wound Centre Bundoora,920 Plenty Road Darebin VIC 3083,0.5
1915,St Luke the Evangelist School,Bellbird Private Hospital,198 Canterbury Road Whitehorse VIC 3130,0.5
1916,St Bernard's School,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,0.41
1917,Our Lady Help of Christians School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,98.19
1918,Luther College,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,1.99
1919,Marian College,Dr Scope,493 Ballarat Road Brimbank VIC 3020,1.6
1920,Mount St Joseph Girls' College,Altona Endoscopy Centre,3-5 Sargood Street Sargood VIC 3018,1.0
1921,Our Lady Help of Christians School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,1.1
1922,St Clement of Rome School,Manningham Day Procedure Centre,503/200 High Street Manningham VIC 3107,1.42
1923,St Joseph's Primary School,The Melbourne Eastern Private Hospital,153-159 Scoresby Road Knox VIC 3155,0.61
1924,Sacred Heart School,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,57.34
1925,Mater Christi College,The Melbourne Eastern Private Hospital,153-159 Scoresby Road Knox VIC 3155,6.24
1926,Our Lady of Lourdes School,The Melbourne Eastern Private Hospital,153-159 Scoresby Road Knox VIC 3155,0.47
1927,St Joseph's College,The Melbourne Eastern Private Hospital,153-159 Scoresby Road Knox VIC 3155,2.82
1928,St Paul's College Balwyn,Linley Clinic,25 Bryson Street Boroondara VIC 3126,1.09
1929,Annunciation School,Western Radiation Oncology Centre,1-9 Marion Street Maribyrnong VIC 3011,2.82
1930,St Louis de Montfort's School,Chelsea Heights Day Surgery & Endoscopy,93 Wells Road Kingston VIC 3196,2.06
1931,St Thomas More's School,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,1.11
1932,Avila College,Waverley Endoscopy,301 Blackburn Road Monash VIC 3149,0.83
1933,St Philip's School,Donvale Rehabilitation Hospital,1119-1121 Doncaster Road Manningham VIC 3109,1.25
1934,Holy Child School,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,4.05
1935,Emmanuel College,Altona Endoscopy Centre,3-5 Sargood Street Sargood VIC 3018,2.73
1936,St Peter Julian Eymard,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,2.14
1937,St Damian's School,Victorian Gut Centre,119 Plenty Road Whittlesea VIC 3083,0.48
1938,St Monica's College,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,1.27
1939,Yarra Valley Grammar,Ringwood Radiation Oncology Centre,36 Frankston-flinders Road Maroondah VIC 3135,2.06
1940,Christ the King School,The Geelong Clinic,94-102 Townsend Road Townsend VIC 3219,1.07
1941,Mercy College,Coburg Endoscopy Centre,15 Munro Street Moreland VIC 3058,1.01
1942,St Timothy's School,Forest Hill Dialysis Clinic,69 Mahoneys Road Whitehorse VIC 3131,0.98
1943,St Mary's School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,10.34
1944,St Macartan's School,Beleura Private Hospital,925 Nepean Highway Nepean VIC 3931,1.14
1945,St John's School,Bayside Day Procedure and Specialist Centre,141 Cranbourne Road Frankston VIC 3199,0.3
1946,St Mary's College for the Deaf,The Melbourne Eastern Private Hospital,153-159 Scoresby Road Knox VIC 3155,2.08
1947,John Paul College,"Southern Eye Centre, Day Surgery & Laser Clinic",42-44 Cranbourne Road Frankston VIC 3199,0.81
1948,St Anne's School,"Southern Eye Centre, Day Surgery & Laser Clinic",42-44 Cranbourne Road Frankston VIC 3199,2.76
1949,Mazenod College,The Victorian Rehabilitation Centre,499 Springvale Road Monash VIC 3150,1.18
1950,St Martin de Porres School,The Essendon Private Hospital,35 Rosehill Road Rosehill VIC 3040,1.47
1951,St Gregory the Great School,Manningham Day Procedure Centre,503/200 High Street Manningham VIC 3107,0.65
1952,Maranatha Christian School,Dandenong Eye Clinic & Day Surgery Centre,1-3 Falkiner Crescent Falkiner VIC 3175,3.0
1953,St Kevin's School,Manningham Day Procedure Centre,503/200 High Street Manningham VIC 3107,0.92
1954,St James' School,Knox Private Hospital,262 Mountain Highway Knox VIC 3152,1.29
1955,Good Shepherd School,The Victorian Rehabilitation Centre,499 Springvale Road Monash VIC 3150,0.71
1956,MacKillop Catholic Regional College,Werribee Endoscopy Centre,179 Princes Highway Wyndham VIC 3030,1.76
1957,St James'  College,Holmesglen Private Hospital,488-490 South Road Kingston VIC 3189,1.32
1958,St Thomas' School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,18.4
1959,St Leo the Great Primary School,Altona Endoscopy Centre,3-5 Sargood Street Sargood VIC 3018,2.45
1960,St Peter's School,The Essendon Private Hospital,35 Rosehill Road Rosehill VIC 3040,1.45
1961,Our Lady Help of Christians School,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,2.38
1962,Marian College,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,26.98
1963,St Martin de Porres School,Altona Endoscopy Centre,3-5 Sargood Street Sargood VIC 3018,3.02
1964,St Jude the Apostle School,Vermont Private Hospital,645-647 Burwood Hwy Whitehorse VIC 3133,2.59
1965,St Monica's School,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,0.84
1966,Mount Evelyn Christian School/Ranges TEC,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,4.34
1967,Melbourne Rudolf Steiner School,Ringwood Radiation Oncology Centre,36 Frankston-flinders Road Maroondah VIC 3135,2.36
1968,St Peter's School,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,1.33
1969,St Mark's School,Windsor Avenue Day Surgery,17 Windsor Avenue Windsor VIC 3171,2.66
1970,The Currajong School,Malvern Private Hospital,3-9 Bryson Crescent Stonnington VIC 3145,0.61
1971,Nunawading Christian College-Secondary,Forest Hill Dialysis Clinic,69 Mahoneys Road Whitehorse VIC 3131,0.96
1972,Eltham College,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,4.65
1973,Holy Eucharist School,Fresenius Medical Care Sunshine Dialysis Clinic,147-149 Furlong Road Brimbank VIC 3021,0.4
1974,St Paul's Primary School,Mildura Health Private Hospital,220-228 Thirteenth Street Mildura VIC 3500,1.5
1975,Learning Co-Operative School,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,7.81
1976,St Peter Apostle School,Westpoint Endoscopy Day Hospital,243 Heaths Road Wyndham VIC 3030,0.61
1977,Donvale Christian College,Donvale Rehabilitation Hospital,1119-1121 Doncaster Road Manningham VIC 3109,1.63
1978,Berengarra School,Epworth Eastern,1 Arnold Street Whitehorse VIC 3128,1.01
1979,Sholem Aleichem College,Cabrini Health Elsternwick Rehabilitation,494-498 High Road High VIC 3185,0.5
1980,St John XXIII Primary School,Northpark Private Hospital,10 Greenhills Road Whittlesea VIC 3083,1.53
1981,Braemar College,Goonawarra Day Hospital,11 Dornoch Drive Hume VIC 3429,17.69
1982,School of the Good Shepherd,Keilor Private,12A Kennedy Street Brimbank VIC 3036,3.56
1983,St Agatha's School,The Hampton Park Women's Health Care Centre,4 Warana Drive Casey VIC 3976,5.56
1984,Resurrection School,Noble Park Endoscopy Centre,1304 Heatherton Road Heatherton VIC 3174,2.15
1985,St Dominic's School,Sydenham Day Surgery,566 Melton Highway Brimbank VIC 3037,9.57
1986,St Francis Xavier School,Specialist Surgicentre Geelong,200 Malop Street Malop VIC 3220,5.33
1987,Gilson College,St Albans Endoscopy Centre,328-330 Station Road Brimbank VIC 3021,1.61
1988,Cheshire School,The Victorian Rehabilitation Centre,499 Springvale Road Monash VIC 3150,0.38
1989,Galen Catholic College,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,0.73
1990,Holy Spirit School,Ringwood Radiation Oncology Centre,36 Frankston-flinders Road Maroondah VIC 3135,1.29
1991,Lumen Christi School,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,6.99
1992,Holy Saviour Parish School,Vermont Private Hospital,645-647 Burwood Hwy Whitehorse VIC 3133,1.37
1993,St Clare's School,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,2.01
1994,Nhill Lutheran School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,146.37
1995,St Anne's School,Goonawarra Day Hospital,11 Dornoch Drive Hume VIC 3429,1.93
1996,Our Lady of the Pines School,Donvale Rehabilitation Hospital,1119-1121 Doncaster Road Manningham VIC 3109,1.12
1997,St Jude's School,Peninsula Private Hospital,525 Mcclelland Drive Frankston VIC 3910,1.16
1998,St Paul's Kealba Catholic School,Keilor Private,12A Kennedy Street Brimbank VIC 3036,1.24
1999,St Elizabeth's School,The Valley Private Hospital,535-559 Police Road Monash VIC 3170,0.93
2000,St Joseph the Worker School,Reservoir Private Hospital Day Procedure Centre,73-75 Pine Street Darebin VIC 3073,1.1
2001,Resurrection School,St Albans Endoscopy Centre,328-330 Station Road Brimbank VIC 3021,0.57
2002,Catholic Regional College,St Albans Endoscopy Centre,328-330 Station Road Brimbank VIC 3021,1.13
2003,St Francis Xavier College,Casey Radiation Oncology Centre,2/55 Kangan Drive Casey VIC 3806,1.59
2004,Holy Trinity Lutheran College,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,106.03
2005,Plenty Valley International Montessori School,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,2.18
2006,Waverley Christian College,Vermont Private Hospital,645-647 Burwood Hwy Whitehorse VIC 3133,1.72
