,School,Nearest Hospital,Hopsital Address,Distance (miles)
1726,St John's School,Benalla Health,47-63 Coster Street Benalla VIC 3672,27.23
1727,Penleigh & Essendon Grammar School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,3.54
1728,St John's School,Tweddle Child and Family Health Service,49-71 Adelaide Street Footscray VIC 3011,0.17
1729,St Joseph's School,Cobram District Health,24-32 Broadway Street Cobram VIC 3644,0.15
1730,Shelford Girls' Grammar,Caulfield General Medical Centre,260 Kooyong Road Caulfield VIC 3162,0.43
1731,Mary Immaculate School,Heidelberg Repatriation Hospital,300 Waterdale Road Waterdale VIC 3081,1.19
1732,St Joseph's School,Waranga Memorial Hospital,14 Coyle Street Rushworth VIC 3612,15.61
1733,Our Lady of Lourdes School,The Alfred,55 Commercial Road Melbourne VIC 3004,1.57
1734,St Joseph's School,Orbost Regional Health,104 Boundary Road Orbost VIC 3888,0.75
1735,Mentone Grammar School,Kingston Centre,400 Warrigal Road Heatherton VIC 3202,2.38
1736,Ivanhoe Girls' Grammar School,Heidelberg Repatriation Hospital,300 Waterdale Road Waterdale VIC 3081,0.63
1737,St Mary's School,Alpine Health (Myrtleford),30-32 Odonnell Avenue Myrtleford VIC 3737,0.13
1738,Carey Baptist Grammar School,St George's Health Service (Aged Care),283 Cotham Road Kew VIC 3101,0.48
1739,Kilvington Grammar School,Calvary Health Care Bethlehem,476-482 Kooyong Road Kooyong VIC 3162,1.54
1740,Haileybury College,"Queen Elizabeth Centre, The",37-53 Thomas Street Thomas VIC 3174,2.39
1741,St Therese's School,Royal Melbourne Hospital (Royal Park Campus),34-56 Poplar Road Parkville VIC 3052,2.82
1742,Sacred Heart School,Yea and District Memorial Hospital,45 Station Street Yea VIC 3717,0.37
1743,Our Lady of Good Counsel School,O'Connell Family Centre,6 Katamatite-nathalia Road Canterbury VIC 3126,0.36
1744,Strathcona Baptist Girls' Grammar,O'Connell Family Centre,6 Katamatite-nathalia Road Canterbury VIC 3126,1.35
1745,St Kevin's School,Calvary Health Care Bethlehem,476-482 Kooyong Road Kooyong VIC 3162,1.49
1746,Mentone Girls' Grammar School,Kingston Centre,400 Warrigal Road Heatherton VIC 3202,2.57
1747,St Joseph's School,"Queen Elizabeth Centre, The",37-53 Thomas Street Thomas VIC 3174,6.6
1748,Gippsland Grammar,Central Gippsland Health Service (Sale),155 Guthridge Parade Sale VIC 3850,1.33
1749,St Finbar's School,Calvary Health Care Bethlehem,476-482 Kooyong Road Kooyong VIC 3162,1.36
1750,Loreto Mandeville Hall,The Alfred,55 Commercial Road Melbourne VIC 3004,1.8
1751,St Dominic's School,O'Connell Family Centre,6 Katamatite-nathalia Road Canterbury VIC 3126,1.97
1752,St Mary's School,Sandringham & District Memorial Hospital,191-193 Bluff Road Sandringham VIC 3191,2.15
1753,Holy Rosary School,Heathcote Health,39-55 Hospital Street Heathcote VIC 3523,0.75
1754,St Mary's School,Cohuna District Hospital,144-158 Broadway Street Cohuna VIC 3568,0.59
1755,Camberwell Grammar School,O'Connell Family Centre,6 Katamatite-nathalia Road Canterbury VIC 3126,0.25
1756,St Joseph's School,The Mornington Centre,24 Separation Street Mornington VIC 3931,12.61
1757,Brighton Grammar School,Calvary Health Care Bethlehem,476-482 Kooyong Road Kooyong VIC 3162,1.46
1758,St Fidelis' School,Royal Melbourne Hospital (Royal Park Campus),34-56 Poplar Road Parkville VIC 3052,1.97
1759,Huntingtower School,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,2.26
1760,St Francis Xavier's School,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,0.78
1761,St Mary's School,Williamstown Hospital,76A Railway Crescent Williamstown VIC 3016,3.53
1762,Our Lady Help of Christians School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,5.21
1763,Our Lady of the Sacred Heart School,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,5.3
1764,St Francis Xavier School,Frankston Hospital,2 Hastings Road Frankston VIC 3199,0.22
1765,Our Lady of Sion College,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,0.7
1766,St Gabriel's School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,2.96
1767,St Paul's School,Monash Medical Centre (Moorabbin),823-865 Centre Road Centre VIC 3165,1.21
1768,St Joseph's School,Sandringham & District Memorial Hospital,191-193 Bluff Road Sandringham VIC 3191,1.06
1769,Salesian College,Sunbury Day Hospital,7 Macedon Street Sunbury VIC 3429,0.47
1770,St Patrick's School,Central Gippsland Health Service (Maffra),42-48 Kent Street Maffra VIC 3860,5.16
1771,Kingswood College,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,1.3
1772,St Joseph's School,West Gippsland Healthcare Group (Warragul),41 Landsborough Street Warragul VIC 3820,12.46
1773,St Patrick's School,Monash Medical Centre (Moorabbin),823-865 Centre Road Centre VIC 3165,1.32
1774,St Roch's School,Caulfield General Medical Centre,260 Kooyong Road Caulfield VIC 3162,2.6
1775,St Margaret's School,Casey Hospital,62-70 Kangan Drive Berwick VIC 3806,0.67
1776,Camberwell Girls Grammar School,O'Connell Family Centre,6 Katamatite-nathalia Road Canterbury VIC 3126,0.17
1777,St Anne's School,St George's Health Service (Aged Care),283 Cotham Road Kew VIC 3101,0.97
1778,Our Lady of Perpetual Help School,Maroondah Hospital,1-15 Davey Drive Davey VIC 3135,1.43
1779,St Francis Xavier's School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,4.06
1780,St Joseph's School,Rosebud Hospital,1527 Pascoe Road Pascoe VIC 3940,7.9
1781,St Cecilia's School,O'Connell Family Centre,6 Katamatite-nathalia Road Canterbury VIC 3126,2.34
1782,St Joseph's School,Caulfield General Medical Centre,260 Kooyong Road Caulfield VIC 3162,0.62
1783,St Joseph's School,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,8.46
1784,"Preshil, The Margaret Lyttle Memorial School",St George's Health Service (Aged Care),283 Cotham Road Kew VIC 3101,0.47
1785,St Peter's School,The Northern Hospital,185 Cooper Street Epping VIC 3076,0.7
1786,Santa Maria College,Royal Talbot Rehabilitation Centre,1 Yarra Boulevard Kew VIC 3101,1.75
1787,Sacred Heart School,Monash Medical Centre (Moorabbin),823-865 Centre Road Centre VIC 3165,1.83
1788,St Mark's School,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,3.53
1789,St John the Baptist School,Angliss Hospital,39 Albert Street Albert VIC 3156,1.27
1790,St John's School,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,2.81
1791,St Mary's School,Shepparton Hospital,2-48 Graham Street Shepparton VIC 3630,3.6
1792,St Raphael's School,Heidelberg Repatriation Hospital,300 Waterdale Road Waterdale VIC 3081,3.36
1793,St Kevin's College,Caritas Christi Hospice Ltd,104 Kooyong Road Kew VIC 3101,2.15
1794,St John the Baptist's School,Kooweerup Regional Health Service,215 Rossiter Road Rossiter VIC 3981,0.28
1795,St Vincent de Paul's School,Royal Melbourne Hospital (Royal Park Campus),34-56 Poplar Road Parkville VIC 3052,2.84
1796,St Joseph's College Geelong,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,1.83
1797,St Joseph's School,"Queen Elizabeth Centre, The",37-53 Thomas Street Thomas VIC 3174,2.01
1798,St Bede's College,Kingston Centre,400 Warrigal Road Heatherton VIC 3202,2.61
1799,Holy Name School,Heidelberg Repatriation Hospital,300 Waterdale Road Waterdale VIC 3081,2.38
1800,Siena College Ltd,O'Connell Family Centre,6 Katamatite-nathalia Road Canterbury VIC 3126,1.65
1801,St Bernard's School,Royal Melbourne Hospital (Royal Park Campus),34-56 Poplar Road Parkville VIC 3052,2.5
1802,St Benedict's School,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,2.71
1803,St Oliver Plunkett's School,Royal Melbourne Hospital (Royal Park Campus),34-56 Poplar Road Parkville VIC 3052,3.29
1804,Corpus Christi School,Tweddle Child and Family Health Service,49-71 Adelaide Street Footscray VIC 3011,1.11
1805,St Robert's School,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,1.27
1806,St Bernard's College,Orygen Inpatient Unit,10 Mavis Street Footscray VIC 3011,2.88
1807,Whitefriars College Inc,Maroondah Hospital,1-15 Davey Drive Davey VIC 3135,3.23
1808,St Michael's School,O'Connell Family Centre,6 Katamatite-nathalia Road Canterbury VIC 3126,3.49
1809,St Mary's School,Creswick District Hospital,1 Napier Street Creswick VIC 3363,7.66
1810,Our Lady of the Sacred Heart College,Monash Medical Centre (Moorabbin),823-865 Centre Road Centre VIC 3165,1.33
1811,St Bede's School,St George's Health Service (Aged Care),283 Cotham Road Kew VIC 3101,1.45
1812,Salesian College,Monash Medical Centre (Clayton),246 Clayton Road Clayton VIC 3168,2.87
1813,St Patrick's School,West Wimmera Health Service (Nhill),51 Nelson Street Nhill VIC 3418,0.74
1814,St Margaret's School,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,1.04
1815,Mount Scopus Memorial College,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,2.3
1816,St Kieran's School,Latrobe Regional Hospital,10 Village Avenue Traralgon VIC 3844,12.16
1817,Marcellin College,Mercy Hospital for Women,163 Studley Road Heidelberg VIC 3084,1.75
1818,Marist-Sion College,West Gippsland Healthcare Group (Warragul),41 Landsborough Street Warragul VIC 3820,1.16
1819,Henderson College,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,2.72
1820,St Theresa's School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,1.55
1821,St Bernadette's School,Heidelberg Repatriation Hospital,300 Waterdale Road Waterdale VIC 3081,0.87
1822,St Colman's School,Terang and Mortlake Health Service (Terang),13 Austin Avenue Terang VIC 3264,12.28
1823,St Agnes' School,Sandringham & District Memorial Hospital,191-193 Bluff Road Sandringham VIC 3191,1.26
1824,Our Lady of the Assumption School,Kingston Centre,400 Warrigal Road Heatherton VIC 3202,1.34
1825,Nunawading Christian College-Primary,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,2.13
1826,Sacred Heart School,Maroondah Hospital,1-15 Davey Drive Davey VIC 3135,1.16
1827,St Malachy's School,Edenhope & District Hospital,124-134 Elizabeth Street Edenhope VIC 3318,0.61
1828,Heritage College,Casey Hospital,62-70 Kangan Drive Berwick VIC 3806,1.7
1829,St Mary's School,Alexandra District Hospital,12 Cooper Street Alexandra VIC 3714,0.32
1830,Resurrection House,Orygen Inpatient Unit,10 Mavis Street Footscray VIC 3011,2.57
1831,Adass Israel School,Caulfield General Medical Centre,260 Kooyong Road Caulfield VIC 3162,0.48
1832,Holy Spirit School,Heidelberg Repatriation Hospital,300 Waterdale Road Waterdale VIC 3081,1.74
1833,Sacred Heart School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,1.76
1834,St Thomas The Apostle School,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,2.04
1835,St Mary's School,Waranga Memorial Hospital,14 Coyle Street Rushworth VIC 3612,0.15
1836,St Michael's School,Central Gippsland Health Service (Maffra),42-48 Kent Street Maffra VIC 3860,10.96
1837,St Thomas Aquinas School,McKellar Centre (Geelong),45-99 Ballarat Road Ballarat VIC 3215,2.36
1838,St Pius X School,Heidelberg Repatriation Hospital,300 Waterdale Road Waterdale VIC 3081,0.64
1839,St Margaret Mary's School,Tweddle Child and Family Health Service,49-71 Adelaide Street Footscray VIC 3011,2.25
1840,Monivae College,Hamilton Base Hospital,20 Foster Street Hamilton VIC 3300,1.11
1841,St Mary Magdalen's Parish Primary School,Monash Medical Centre (Clayton),246 Clayton Road Clayton VIC 3168,3.04
1842,St Anthony's School,"Queen Elizabeth Centre, The",37-53 Thomas Street Thomas VIC 3174,0.32
1843,St Peter's School,Monash Medical Centre (Clayton),246 Clayton Road Clayton VIC 3168,0.18
1844,St Joseph's School,Rural Northwest Health (Hopetoun),12 Mitchell Place Hopetoun VIC 3396,0.65
1845,Yeshivah College,Caulfield General Medical Centre,260 Kooyong Road Caulfield VIC 3162,1.33
1846,St John Bosco's School,Orygen Inpatient Unit,10 Mavis Street Footscray VIC 3011,3.27
1847,Holy Family School,McKellar Centre (Geelong),45-99 Ballarat Road Ballarat VIC 3215,0.58
1848,Holy Spirit Parish School,McKellar Centre (Geelong),45-99 Ballarat Road Ballarat VIC 3215,1.19
1849,St Mary's School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,2.08
1850,Mother of God School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,1.58
1851,St Peter Chanel School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,2.63
1852,Christ the King Primary School,Orygen Inpatient Unit,10 Mavis Street Footscray VIC 3011,1.4
1853,Corpus Christi School,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,1.45
1854,Killester College,"Queen Elizabeth Centre, The",37-53 Thomas Street Thomas VIC 3174,1.7
1855,St Paul's School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,1.96
1856,St Patrick's School,Cohuna District Hospital,144-158 Broadway Street Cohuna VIC 3568,18.47
1857,Clonard College,McKellar Centre (Geelong),45-99 Ballarat Road Ballarat VIC 3215,0.8
1858,Stella Maris School,Sandringham & District Memorial Hospital,191-193 Bluff Road Sandringham VIC 3191,1.9
1859,St Therese's School,Bendigo Health (Anne Caudle),100A Barnard Street Bendigo VIC 3550,1.48
1860,St Bernadette's School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,1.31
1861,St James' School,"Queen Elizabeth Centre, The (Ballarat QEC)",102 Ascot Street Ascot VIC 3350,2.73
1862,Rossbourne School,Caritas Christi Hospice Ltd,104 Kooyong Road Kew VIC 3101,1.38
1863,Sacred Heart School,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,0.55
1864,Beth Rivkah Ladies College,Caulfield General Medical Centre,260 Kooyong Road Caulfield VIC 3162,1.25
1865,St Margaret's Primary School,Orygen Inpatient Unit,10 Mavis Street Footscray VIC 3011,1.68
1866,Immaculate Heart of Mary School,Latrobe Regional Hospital,10 Village Avenue Traralgon VIC 3844,10.06
1867,Holy Family School,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,2.41
1868,St Gerard's School,Dandenong Hospital,135 David Street Dandenong VIC 3175,0.8
1869,St Mel's School,Shepparton Hospital,2-48 Graham Street Shepparton VIC 3630,2.06
1870,Our Lady of Perpetual Succour School,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,1.18
1871,St Catherine's School,Monash Medical Centre (Moorabbin),823-865 Centre Road Centre VIC 3165,1.35
1872,Sacred Heart Girls' College,Monash Medical Centre (Moorabbin),823-865 Centre Road Centre VIC 3165,1.79
1873,St Vincent de Paul's School,Latrobe Regional Hospital,10 Village Avenue Traralgon VIC 3844,3.15
1874,St Peter's Lutheran School,Wimmera Base Hospital (Dimboola),32 Anderson Street Dimboola VIC 3414,0.9
1875,St Mary's School,Mallee Track Health & Community Service (Sea Lake),33-43 Mcclelland Avenue Mcclelland VIC 3533,0.41
1876,St Joseph's School,Healesville and District Hospital,377 Maroondah Highway Healesville VIC 3777,11.12
1877,St Stephen's School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,2.08
1878,St Brendan's School,Bairnsdale Regional Health Service,122 Day Street Bairnsdale VIC 3875,22.26
1879,St Martin of Tours School,Mercy Hospital for Women,163 Studley Road Heidelberg VIC 3084,1.7
1880,St Michael's School,Tallangatta Health Service,25 Barree Street Tallangatta VIC 3700,0.61
1881,Christ Our Holy Redeemer School,Monash Medical Centre (Clayton),246 Clayton Road Clayton VIC 3168,1.91
1882,Our Lady of the Nativity School,Orygen Inpatient Unit,10 Mavis Street Footscray VIC 3011,2.45
1883,St John's Regional College,Dandenong Hospital,135 David Street Dandenong VIC 3175,1.01
1884,Nagle College,Bairnsdale Regional Health Service,122 Day Street Bairnsdale VIC 3875,1.19
1885,St Mary's School,"Robinvale District Health Services, Robinvale",128-132 Latje Road Robinvale VIC 3549,0.2
1886,Our Lady's School,Northeast Health Wangaratta,35-47 Green Street Wangaratta VIC 3677,1.29
1887,Emmaus College,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,0.64
1888,St Dominic's School,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,0.57
1889,St Patrick's School,Kyabram and District Health Services,86-96 Fenaughty Street Kyabram VIC 3620,6.57
1890,St Bridget's School,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,1.49
1891,St Leonard's School,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,2.37
1892,St Scholastica's School,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,2.08
1893,St Christopher's School,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,1.49
1894,St John Vianney's School,Kingston Centre,400 Warrigal Road Heatherton VIC 3202,2.58
1895,Ss Peter & Paul's School,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,2.5
1896,St Mary of the Angels College,Nathalia District Hospital,36-44 Mcdonell Street Nathalia VIC 3638,0.62
1897,Holy Family School,Dandenong Hospital,135 David Street Dandenong VIC 3175,1.44
1898,Aquinas College,Maroondah Hospital,1-15 Davey Drive Davey VIC 3135,1.57
1899,Leibler Yavneh College,Calvary Health Care Bethlehem,476-482 Kooyong Road Kooyong VIC 3162,0.45
1900,Peninsula Grammar,The Mornington Centre,24 Separation Street Mornington VIC 3931,3.46
1901,St Matthew's School,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,3.14
1902,St John Vianney's School,Monash Medical Centre (Clayton),246 Clayton Road Clayton VIC 3168,2.2
1903,St Luke's School,The Northern Hospital,185 Cooper Street Epping VIC 3076,1.38
1904,St Francis de Sales School,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,2.43
1905,St John's Lutheran School Geelong,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,1.01
1906,St Thomas More's School,Angliss Hospital,39 Albert Street Albert VIC 3156,2.24
1907,St Pius X School,South West Healthcare (Warrnambool),25 Ryot Street Warrnambool VIC 3280,1.13
1908,St Christopher's School,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,3.35
1909,Sacred Heart School,Colac Area Health,12 Connor Street Colac VIC 3250,0.86
1910,Sacred Heart School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,6.04
1911,St Michael's School,Casey Hospital,62-70 Kangan Drive Berwick VIC 3806,0.85
1912,Ave Maria College,Orygen Inpatient Unit,10 Mavis Street Footscray VIC 3011,2.45
1913,Bialik College,O'Connell Family Centre,6 Katamatite-nathalia Road Canterbury VIC 3126,2.06
1914,Our Lady of the Way School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,1.44
1915,St Luke the Evangelist School,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,1.5
1916,St Bernard's School,Northeast Health Wangaratta,35-47 Green Street Wangaratta VIC 3677,0.72
1917,Our Lady Help of Christians School,West Wimmera Health Service (Rupanyup),89-91 Cromie Street Rupanyup VIC 3388,8.83
1918,Luther College,Maroondah Hospital,1-15 Davey Drive Davey VIC 3135,1.91
1919,Marian College,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,1.99
1920,Mount St Joseph Girls' College,Williamstown Hospital,76A Railway Crescent Williamstown VIC 3016,4.44
1921,Our Lady Help of Christians School,Ballarat Hospital,1 Drummond Street Drummond VIC 3350,2.59
1922,St Clement of Rome School,Mercy Hospital for Women,163 Studley Road Heidelberg VIC 3084,1.78
1923,St Joseph's Primary School,Wantirna Health,251 Mountain Highway Wantirna VIC 3152,2.84
1924,Sacred Heart School,Upper Murray Health and Community Services (Corryong),16-20 Kiell Street Corryong VIC 3707,0.23
1925,Mater Christi College,Angliss Hospital,39 Albert Street Albert VIC 3156,2.61
1926,Our Lady of Lourdes School,Wantirna Health,251 Mountain Highway Wantirna VIC 3152,2.16
1927,St Joseph's College,Angliss Hospital,39 Albert Street Albert VIC 3156,1.16
1928,St Paul's College Balwyn,O'Connell Family Centre,6 Katamatite-nathalia Road Canterbury VIC 3126,1.4
1929,Annunciation School,Tweddle Child and Family Health Service,49-71 Adelaide Street Footscray VIC 3011,2.71
1930,St Louis de Montfort's School,Kingston Centre,400 Warrigal Road Heatherton VIC 3202,4.56
1931,St Thomas More's School,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,2.35
1932,Avila College,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,2.28
1933,St Philip's School,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,2.67
1934,Holy Child School,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,1.63
1935,Emmanuel College,Tweddle Child and Family Health Service,49-71 Adelaide Street Footscray VIC 3011,3.42
1936,St Peter Julian Eymard,Yarra Ranges Health,25 Market Street Lilydale VIC 3140,2.85
1937,St Damian's School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,0.22
1938,St Monica's College,The Northern Hospital,185 Cooper Street Epping VIC 3076,0.91
1939,Yarra Valley Grammar,Maroondah Hospital,1-15 Davey Drive Davey VIC 3135,1.61
1940,Christ the King School,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,1.84
1941,Mercy College,Royal Melbourne Hospital (Royal Park Campus),34-56 Poplar Road Parkville VIC 3052,3.41
1942,St Timothy's School,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,1.36
1943,St Mary's School,Central Gippsland Health Service (Maffra),42-48 Kent Street Maffra VIC 3860,0.62
1944,St Macartan's School,The Mornington Centre,24 Separation Street Mornington VIC 3931,1.64
1945,St John's School,Frankston Hospital,2 Hastings Road Frankston VIC 3199,1.08
1946,St Mary's College for the Deaf,Wantirna Health,251 Mountain Highway Wantirna VIC 3152,2.24
1947,John Paul College,Frankston Hospital,2 Hastings Road Frankston VIC 3199,1.18
1948,St Anne's School,Frankston Hospital,2 Hastings Road Frankston VIC 3199,3.12
1949,Mazenod College,Monash Medical Centre (Clayton),246 Clayton Road Clayton VIC 3168,2.42
1950,St Martin de Porres School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,2.5
1951,St Gregory the Great School,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,2.31
1952,Maranatha Christian School,Dandenong Hospital,135 David Street Dandenong VIC 3175,3.28
1953,St Kevin's School,Mercy Hospital for Women,163 Studley Road Heidelberg VIC 3084,3.41
1954,St James' School,Wantirna Health,251 Mountain Highway Wantirna VIC 3152,1.2
1955,Good Shepherd School,Monash Medical Centre (Clayton),246 Clayton Road Clayton VIC 3168,2.53
1956,MacKillop Catholic Regional College,Mercy Public Hospitals Inc (Werribee),300-310 Princes Highway Werribee VIC 3030,2.48
1957,St James'  College,Monash Medical Centre (Moorabbin),823-865 Centre Road Centre VIC 3165,0.58
1958,St Thomas' School,Central Gippsland Health Service (Sale),155 Guthridge Parade Sale VIC 3850,0.61
1959,St Leo the Great Primary School,Williamstown Hospital,76A Railway Crescent Williamstown VIC 3016,2.81
1960,St Peter's School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,2.61
1961,Our Lady Help of Christians School,South West Healthcare (Warrnambool),25 Ryot Street Warrnambool VIC 3280,2.56
1962,Marian College,Alpine Health (Myrtleford),30-32 Odonnell Avenue Myrtleford VIC 3737,0.22
1963,St Martin de Porres School,Mercy Public Hospitals Inc (Werribee),300-310 Princes Highway Werribee VIC 3030,4.79
1964,St Jude the Apostle School,Wantirna Health,251 Mountain Highway Wantirna VIC 3152,2.87
1965,St Monica's School,Albury Wodonga Health (Wodonga),53-81 Vermont Street Wodonga VIC 3690,0.52
1966,Mount Evelyn Christian School/Ranges TEC,Yarra Ranges Health,25 Market Street Lilydale VIC 3140,3.04
1967,Melbourne Rudolf Steiner School,Maroondah Hospital,1-15 Davey Drive Davey VIC 3135,2.09
1968,St Peter's School,Bendigo Health (Anne Caudle),100A Barnard Street Bendigo VIC 3550,0.64
1969,St Mark's School,"Queen Elizabeth Centre, The",37-53 Thomas Street Thomas VIC 3174,2.84
1970,The Currajong School,Caulfield General Medical Centre,260 Kooyong Road Caulfield VIC 3162,2.41
1971,Nunawading Christian College-Secondary,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,2.08
1972,Eltham College,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,7.53
1973,Holy Eucharist School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,0.35
1974,St Paul's Primary School,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,1.52
1975,Learning Co-Operative School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,10.0
1976,St Peter Apostle School,Mercy Public Hospitals Inc (Werribee),300-310 Princes Highway Werribee VIC 3030,0.91
1977,Donvale Christian College,Maroondah Hospital,1-15 Davey Drive Davey VIC 3135,4.08
1978,Berengarra School,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,1.02
1979,Sholem Aleichem College,Caulfield General Medical Centre,260 Kooyong Road Caulfield VIC 3162,0.85
1980,St John XXIII Primary School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,1.78
1981,Braemar College,Kyneton District Health Service,7-25 Fenaughty Drive Kyneton VIC 3444,9.53
1982,School of the Good Shepherd,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,1.45
1983,St Agatha's School,Cranbourne Integrated Care Centre,140-154 Sladen Street Cranbourne VIC 3977,0.14
1984,Resurrection School,"Queen Elizabeth Centre, The",37-53 Thomas Street Thomas VIC 3174,1.48
1985,St Dominic's School,Melton Health,195-209 Barries Road Barries VIC 3337,1.46
1986,St Francis Xavier School,McKellar Centre (Geelong),45-99 Ballarat Road Ballarat VIC 3215,3.48
1987,Gilson College,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,3.78
1988,Cheshire School,Monash Medical Centre (Clayton),246 Clayton Road Clayton VIC 3168,2.3
1989,Galen Catholic College,Northeast Health Wangaratta,35-47 Green Street Wangaratta VIC 3677,1.09
1990,Holy Spirit School,Maroondah Hospital,1-15 Davey Drive Davey VIC 3135,1.39
1991,Lumen Christi School,Latrobe Regional Hospital,10 Village Avenue Traralgon VIC 3844,7.38
1992,Holy Saviour Parish School,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,0.91
1993,St Clare's School,The Northern Hospital,185 Cooper Street Epping VIC 3076,1.98
1994,Nhill Lutheran School,West Wimmera Health Service (Nhill),51 Nelson Street Nhill VIC 3418,0.54
1995,St Anne's School,Sunbury Day Hospital,7 Macedon Street Sunbury VIC 3429,1.03
1996,Our Lady of the Pines School,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,4.22
1997,St Jude's School,Golf Links Road Rehabilitation Centre,125 Market Road Frankston VIC 3199,2.56
1998,St Paul's Kealba Catholic School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,1.82
1999,St Elizabeth's School,"Queen Elizabeth Centre, The",37-53 Thomas Street Thomas VIC 3174,2.11
2000,St Joseph the Worker School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,3.39
2001,Resurrection School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,2.76
2002,Catholic Regional College,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,1.72
2003,St Francis Xavier College,Casey Hospital,62-70 Kangan Drive Berwick VIC 3806,1.5
2004,Holy Trinity Lutheran College,Wimmera Base Hospital (Horsham),83 Baillie Street Horsham VIC 3400,0.54
2005,Plenty Valley International Montessori School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,4.66
2006,Waverley Christian College,Wantirna Health,251 Mountain Highway Wantirna VIC 3152,2.28
